province,sex,age_group,population,source,country_iso3
Khorasan-e-Razavi,Female,All Ages,3189316,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,0-4,343374,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,0-4,324078,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,5-9,289308,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,5-9,275596,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,10-14,254185,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,10-14,242021,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,15-19,231459,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,15-19,230671,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,20-24,253805,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,20-24,253239,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,25-29,326558,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,25-29,321129,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,30-34,340014,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,30-34,332224,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,35-39,278344,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,35-39,271616,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,40-44,212654,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,40-44,208094,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,45-49,178323,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,45-49,177616,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,50-54,144556,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,50-54,144315,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,55-59,126013,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,55-59,129788,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,60-64,90004,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,60-64,95774,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,65-69,53141,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,65-69,61770,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,70-74,46510,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,70-74,49944,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,75-79,33435,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,75-79,33001,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,80-84,27024,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,80-84,23989,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,85-89,11042,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,85-89,9823,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,90-94,4757,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,90-94,3868,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,95-99,572,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,95-99,606,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Male,100 and over,107,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Female,100 and over,154,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Both,All Ages,4710509,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,All Ages,2388674,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,All Ages,2321835,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,0-4,249791,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,0-4,234370,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,5-9,222640,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,5-9,211585,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,10-14,189516,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,10-14,180020,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,15-19,175700,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,15-19,169341,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,20-24,211447,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,20-24,209752,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,25-29,255302,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,25-29,254806,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,30-34,253679,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,30-34,250209,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,35-39,199340,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,35-39,193900,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,40-44,152464,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,40-44,147704,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,45-49,130121,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,45-49,124630,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,50-54,99641,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,50-54,96096,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,55-59,84921,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,55-59,81335,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,60-64,61712,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,60-64,62171,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,65-69,36502,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,65-69,41974,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,70-74,22077,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,70-74,24621,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,75-79,19527,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,75-79,17707,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,80-84,14520,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,80-84,12023,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,85-89,7352,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,85-89,6431,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,90-94,2046,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,90-94,2318,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,95-99,282,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,95-99,521,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Male,100 and over,94,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Khuzestan,Female,100 and over,321,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Both,All Ages,713052,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,All Ages,361386,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,All Ages,351666,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,0-4,38085,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,0-4,35624,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,5-9,33832,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,5-9,32245,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,10-14,28376,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,10-14,27085,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,15-19,25728,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,15-19,25403,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,20-24,32051,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,20-24,32398,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,25-29,41719,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,25-29,40354,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,30-34,37556,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,30-34,37366,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,35-39,29148,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,35-39,29256,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,40-44,23795,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,40-44,23160,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,45-49,19015,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,45-49,18851,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,50-54,13009,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,50-54,13602,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,55-59,12647,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,55-59,11845,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,60-64,9266,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,60-64,8790,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,65-69,4850,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,65-69,5804,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,70-74,3343,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,70-74,3298,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,75-79,3943,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,75-79,2528,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,80-84,3089,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,80-84,2435,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,85-89,1591,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,85-89,1181,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,90-94,261,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,90-94,314,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,95-99,55,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,95-99,80,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Male,100 and over,27,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Female,100 and over,47,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Both,All Ages,1603011,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,All Ages,812776,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,All Ages,790235,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,0-4,72968,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,0-4,69039,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,5-9,64966,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,5-9,62465,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,10-14,57991,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,10-14,55660,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,15-19,53288,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,15-19,52509,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,20-24,71704,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,20-24,69564,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,25-29,90338,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,25-29,87855,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,30-34,85288,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,30-34,82510,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,35-39,71053,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,35-39,65360,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,40-44,57047,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,40-44,55119,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,45-49,48740,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,45-49,47875,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,50-54,34857,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,50-54,35924,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,55-59,30464,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,55-59,31282,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,60-64,26166,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,60-64,25801,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,65-69,15661,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,65-69,18802,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,70-74,10673,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,70-74,11404,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,75-79,8928,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,75-79,8467,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,80-84,6601,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,80-84,6149,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,85-89,3275,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,85-89,2885,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,90-94,1389,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,90-94,957,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,95-99,516,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,95-99,335,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Male,100 and over,863,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Kordestan,Female,100 and over,273,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Both,All Ages,1760649,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,All Ages,892889,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,All Ages,867760,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,0-4,84792,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,0-4,77527,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,5-9,73612,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,5-9,69193,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,10-14,65438,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,10-14,62423,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,15-19,62062,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,15-19,59209,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,20-24,80497,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Female,20-24,74516,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Lorestan,Male,25-29,96065,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
