year_iranian,year_western,population_group,occupation_category,persons_employed
1391,2012-2013,"Rural Areas, Males",Other or Not Declared,62805
1391,2012-2013,"Rural Areas, Females",Total,1230860
1391,2012-2013,"Rural Areas, Females",Legislators/Senior Officials/Managers,4937
1391,2012-2013,"Rural Areas, Females",Professionals,34361
1391,2012-2013,"Rural Areas, Females",Technicians and Associate Professionals,18154
1391,2012-2013,"Rural Areas, Females",Clerical and Administrative Workers,15516
1391,2012-2013,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,58433
1391,2012-2013,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,701206
1391,2012-2013,"Rural Areas, Females",Crafts and Related Trades Workers,253367
1391,2012-2013,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,5507
1391,2012-2013,"Rural Areas, Females",Laborers,138581
1391,2012-2013,"Rural Areas, Females",Other or Not Declared,794
1392,2013-2014,"Country, Both Genders",Total,21346179
1392,2013-2014,"Country, Both Genders",Legislators/Senior Officials/Managers,617206
1392,2013-2014,"Country, Both Genders",Professionals,1940542
1392,2013-2014,"Country, Both Genders",Technicians and Associate Professionals,1166469
1392,2013-2014,"Country, Both Genders",Clerical and Administrative Workers,957993
1392,2013-2014,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2696013
1392,2013-2014,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3251308
1392,2013-2014,"Country, Both Genders",Crafts and Related Trades Workers,4282876
1392,2013-2014,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2607406
1392,2013-2014,"Country, Both Genders",Laborers,3390405
1392,2013-2014,"Country, Both Genders",Other or Not Declared,435958
1392,2013-2014,"Country, Males",Total,18200886
1392,2013-2014,"Country, Males",Legislators/Senior Officials/Managers,523615
1392,2013-2014,"Country, Males",Professionals,1138405
1392,2013-2014,"Country, Males",Technicians and Associate Professionals,960092
1392,2013-2014,"Country, Males",Clerical and Administrative Workers,714033
1392,2013-2014,"Country, Males",Service Workers and Shop/Market Sales Workers,2392227
1392,2013-2014,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2631530
1392,2013-2014,"Country, Males",Crafts and Related Trades Workers,3655706
1392,2013-2014,"Country, Males",Machinery Operators/Assemblers/Drivers,2566249
1392,2013-2014,"Country, Males",Laborers,3188234
1392,2013-2014,"Country, Males",Other or Not Declared,430790
1392,2013-2014,"Country, Females",Total,3145293
1392,2013-2014,"Country, Females",Legislators/Senior Officials/Managers,93591
1392,2013-2014,"Country, Females",Professionals,802136
1392,2013-2014,"Country, Females",Technicians and Associate Professionals,206376
1392,2013-2014,"Country, Females",Clerical and Administrative Workers,243960
1392,2013-2014,"Country, Females",Service Workers and Shop/Market Sales Workers,303786
1392,2013-2014,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,619778
1392,2013-2014,"Country, Females",Crafts and Related Trades Workers,627170
1392,2013-2014,"Country, Females",Machinery Operators/Assemblers/Drivers,41156
1392,2013-2014,"Country, Females",Laborers,202170
1392,2013-2014,"Country, Females",Other or Not Declared,5167
1392,2013-2014,"Urban Areas, Both Genders",Total,15005782
1392,2013-2014,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,562423
1392,2013-2014,"Urban Areas, Both Genders",Professionals,1815811
1392,2013-2014,"Urban Areas, Both Genders",Technicians and Associate Professionals,1060117
1392,2013-2014,"Urban Areas, Both Genders",Clerical and Administrative Workers,895754
1392,2013-2014,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2352461
1392,2013-2014,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,573352
1392,2013-2014,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3334287
1392,2013-2014,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,2008335
1392,2013-2014,"Urban Areas, Both Genders",Laborers,2039233
1392,2013-2014,"Urban Areas, Both Genders",Other or Not Declared,364004
1392,2013-2014,"Urban Areas, Males",Total,12954428
1392,2013-2014,"Urban Areas, Males",Legislators/Senior Officials/Managers,473342
1392,2013-2014,"Urban Areas, Males",Professionals,1057068
1392,2013-2014,"Urban Areas, Males",Technicians and Associate Professionals,871962
1392,2013-2014,"Urban Areas, Males",Clerical and Administrative Workers,665149
1392,2013-2014,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2097241
1392,2013-2014,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,530320
1392,2013-2014,"Urban Areas, Males",Crafts and Related Trades Workers,2972595
1392,2013-2014,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1973058
1392,2013-2014,"Urban Areas, Males",Laborers,1953325
1392,2013-2014,"Urban Areas, Males",Other or Not Declared,360364
1392,2013-2014,"Urban Areas, Females",Total,2051354
1392,2013-2014,"Urban Areas, Females",Legislators/Senior Officials/Managers,89080
1392,2013-2014,"Urban Areas, Females",Professionals,758742
1392,2013-2014,"Urban Areas, Females",Technicians and Associate Professionals,188155
1392,2013-2014,"Urban Areas, Females",Clerical and Administrative Workers,230605
1392,2013-2014,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,255220
1392,2013-2014,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,43032
1392,2013-2014,"Urban Areas, Females",Crafts and Related Trades Workers,361692
1392,2013-2014,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,35276
1392,2013-2014,"Urban Areas, Females",Laborers,85908
1392,2013-2014,"Urban Areas, Females",Other or Not Declared,3640
1392,2013-2014,"Rural Areas, Both Genders",Total,6340397
1392,2013-2014,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,54783
1392,2013-2014,"Rural Areas, Both Genders",Professionals,124731
1392,2013-2014,"Rural Areas, Both Genders",Technicians and Associate Professionals,106351
1392,2013-2014,"Rural Areas, Both Genders",Clerical and Administrative Workers,62238
1392,2013-2014,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,343551
1392,2013-2014,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,2677956
1392,2013-2014,"Rural Areas, Both Genders",Crafts and Related Trades Workers,948588
1392,2013-2014,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,599070
1392,2013-2014,"Rural Areas, Both Genders",Laborers,1351171
1392,2013-2014,"Rural Areas, Both Genders",Other or Not Declared,71953
1392,2013-2014,"Rural Areas, Males",Total,5246458
1392,2013-2014,"Rural Areas, Males",Legislators/Senior Officials/Managers,50272
1392,2013-2014,"Rural Areas, Males",Professionals,81337
1392,2013-2014,"Rural Areas, Males",Technicians and Associate Professionals,88129
1392,2013-2014,"Rural Areas, Males",Clerical and Administrative Workers,48884
1392,2013-2014,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,294985
1392,2013-2014,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2101210
1392,2013-2014,"Rural Areas, Males",Crafts and Related Trades Workers,683110
1392,2013-2014,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,593191
1392,2013-2014,"Rural Areas, Males",Laborers,1234909
1392,2013-2014,"Rural Areas, Males",Other or Not Declared,70426
1392,2013-2014,"Rural Areas, Females",Total,1093939
1392,2013-2014,"Rural Areas, Females",Legislators/Senior Officials/Managers,4511
1392,2013-2014,"Rural Areas, Females",Professionals,43393
1392,2013-2014,"Rural Areas, Females",Technicians and Associate Professionals,18221
1392,2013-2014,"Rural Areas, Females",Clerical and Administrative Workers,13354
1392,2013-2014,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,48566
1392,2013-2014,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,576746
1392,2013-2014,"Rural Areas, Females",Crafts and Related Trades Workers,265478
1392,2013-2014,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,5879
1392,2013-2014,"Rural Areas, Females",Laborers,116262
1392,2013-2014,"Rural Areas, Females",Other or Not Declared,1527
1393,2014-2015,"Country, Both Genders",Total,21304302
1393,2014-2015,"Country, Both Genders",Legislators/Senior Officials/Managers,615068
1393,2014-2015,"Country, Both Genders",Professionals,1940290
1393,2014-2015,"Country, Both Genders",Technicians and Associate Professionals,1095061
1393,2014-2015,"Country, Both Genders",Clerical and Administrative Workers,1011616
1393,2014-2015,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2715520
1393,2014-2015,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3089275
1393,2014-2015,"Country, Both Genders",Crafts and Related Trades Workers,4088288
1393,2014-2015,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2639308
1393,2014-2015,"Country, Both Genders",Laborers,3649016
1393,2014-2015,"Country, Both Genders",Other or Not Declared,460855
1393,2014-2015,"Country, Males",Total,18205001
1393,2014-2015,"Country, Males",Legislators/Senior Officials/Managers,503069
1393,2014-2015,"Country, Males",Professionals,1113905
1393,2014-2015,"Country, Males",Technicians and Associate Professionals,890823
1393,2014-2015,"Country, Males",Clerical and Administrative Workers,755168
1393,2014-2015,"Country, Males",Service Workers and Shop/Market Sales Workers,2416727
1393,2014-2015,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2523539
1393,2014-2015,"Country, Males",Crafts and Related Trades Workers,3504612
1393,2014-2015,"Country, Males",Machinery Operators/Assemblers/Drivers,2604656
1393,2014-2015,"Country, Males",Laborers,3438425
1393,2014-2015,"Country, Males",Other or Not Declared,454073
1393,2014-2015,"Country, Females",Total,3099301
1393,2014-2015,"Country, Females",Legislators/Senior Officials/Managers,111999
1393,2014-2015,"Country, Females",Professionals,826385
1393,2014-2015,"Country, Females",Technicians and Associate Professionals,204238
1393,2014-2015,"Country, Females",Clerical and Administrative Workers,256448
1393,2014-2015,"Country, Females",Service Workers and Shop/Market Sales Workers,298793
1393,2014-2015,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,565736
1393,2014-2015,"Country, Females",Crafts and Related Trades Workers,583675
1393,2014-2015,"Country, Females",Machinery Operators/Assemblers/Drivers,34652
1393,2014-2015,"Country, Females",Laborers,210590
1393,2014-2015,"Country, Females",Other or Not Declared,6782
1393,2014-2015,"Urban Areas, Both Genders",Total,15129377
1393,2014-2015,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,564317
1393,2014-2015,"Urban Areas, Both Genders",Professionals,1807204
1393,2014-2015,"Urban Areas, Both Genders",Technicians and Associate Professionals,994885
1393,2014-2015,"Urban Areas, Both Genders",Clerical and Administrative Workers,946977
1393,2014-2015,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2351238
1393,2014-2015,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,573956
1393,2014-2015,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3209328
1393,2014-2015,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,2040902
1393,2014-2015,"Urban Areas, Both Genders",Laborers,2247257
1393,2014-2015,"Urban Areas, Both Genders",Other or Not Declared,393309
1393,2014-2015,"Urban Areas, Males",Total,13047333
1393,2014-2015,"Urban Areas, Males",Legislators/Senior Officials/Managers,456739
1393,2014-2015,"Urban Areas, Males",Professionals,1028070
1393,2014-2015,"Urban Areas, Males",Technicians and Associate Professionals,812139
1393,2014-2015,"Urban Areas, Males",Clerical and Administrative Workers,703859
1393,2014-2015,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2112006
1393,2014-2015,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,536911
1393,2014-2015,"Urban Areas, Males",Crafts and Related Trades Workers,2854605
1393,2014-2015,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,2010804
1393,2014-2015,"Urban Areas, Males",Laborers,2145508
1393,2014-2015,"Urban Areas, Males",Other or Not Declared,386687
1393,2014-2015,"Urban Areas, Females",Total,2082044
1393,2014-2015,"Urban Areas, Females",Legislators/Senior Officials/Managers,107578
1393,2014-2015,"Urban Areas, Females",Professionals,779133
1393,2014-2015,"Urban Areas, Females",Technicians and Associate Professionals,182745
1393,2014-2015,"Urban Areas, Females",Clerical and Administrative Workers,243117
1393,2014-2015,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,239232
1393,2014-2015,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,37044
1393,2014-2015,"Urban Areas, Females",Crafts and Related Trades Workers,354722
1393,2014-2015,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,30098
1393,2014-2015,"Urban Areas, Females",Laborers,101748
1393,2014-2015,"Urban Areas, Females",Other or Not Declared,6622
1393,2014-2015,"Rural Areas, Both Genders",Total,6174925
1393,2014-2015,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,50750
1393,2014-2015,"Rural Areas, Both Genders",Professionals,133085
1393,2014-2015,"Rural Areas, Both Genders",Technicians and Associate Professionals,100176
1393,2014-2015,"Rural Areas, Both Genders",Clerical and Administrative Workers,64639
1393,2014-2015,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,364281
1393,2014-2015,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,2515319
1393,2014-2015,"Rural Areas, Both Genders",Crafts and Related Trades Workers,878960
1393,2014-2015,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,598406
1393,2014-2015,"Rural Areas, Both Genders",Laborers,1401759
1393,2014-2015,"Rural Areas, Both Genders",Other or Not Declared,67546
1393,2014-2015,"Rural Areas, Males",Total,5157667
1393,2014-2015,"Rural Areas, Males",Legislators/Senior Officials/Managers,46329
1393,2014-2015,"Rural Areas, Males",Professionals,85834
1393,2014-2015,"Rural Areas, Males",Technicians and Associate Professionals,78683
1393,2014-2015,"Rural Areas, Males",Clerical and Administrative Workers,51308
1393,2014-2015,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,304720
1393,2014-2015,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,1986628
1393,2014-2015,"Rural Areas, Males",Crafts and Related Trades Workers,650006
1393,2014-2015,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,593852
1393,2014-2015,"Rural Areas, Males",Laborers,1292916
1393,2014-2015,"Rural Areas, Males",Other or Not Declared,67386
1393,2014-2015,"Rural Areas, Females",Total,1017257
1393,2014-2015,"Rural Areas, Females",Legislators/Senior Officials/Managers,4420
1393,2014-2015,"Rural Areas, Females",Professionals,47251
1393,2014-2015,"Rural Areas, Females",Technicians and Associate Professionals,21492
1393,2014-2015,"Rural Areas, Females",Clerical and Administrative Workers,13330
1393,2014-2015,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,5956
1393,2014-2015,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,528691
1393,2014-2015,"Rural Areas, Females",Crafts and Related Trades Workers,228953
1393,2014-2015,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,4553
1393,2014-2015,"Rural Areas, Females",Laborers,108843
1393,2014-2015,"Rural Areas, Females",Other or Not Declared,159
