changed,rule,chart_id,primary_source,category,old_title,new_title
,keep,wdi__NE.DAB.TOTL,wdi,Macro / Expenditure & Trade Aggregates,Gross national expenditure (% of GDP),Gross national expenditure (% of GDP)
,keep,wdi__NE.EXP.GNFS,wdi,Macro / Expenditure & Trade Aggregates,Exports of goods and services (% of GDP),Exports of goods and services (% of GDP)
,keep,wdi__NE.GDI.FTOT,wdi,Macro / Expenditure & Trade Aggregates,Gross fixed capital formation (% of GDP),Gross fixed capital formation (% of GDP)
,keep,wdi__NE.GDI.TOTL,wdi,Macro / Expenditure & Trade Aggregates,Gross capital formation (% of GDP),Gross capital formation (% of GDP)
,keep,wdi__NE.IMP.GNFS,wdi,Macro / Expenditure & Trade Aggregates,Imports of goods and services (% of GDP),Imports of goods and services (% of GDP)
,keep,wdi__NE.RSB.GNFS,wdi,Macro / Expenditure & Trade Aggregates,External balance on goods and services (% of GDP),External balance on goods and services (% of GDP)
,keep,wdi__NE.TRD.GNFS,wdi,Macro / Expenditure & Trade Aggregates,Trade (% of GDP),Trade (% of GDP)
,keep,wdi__NV.AGR.TOTL,wdi,Industry / Value Added by Sector,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)"
,keep,wdi__NV.IND.MANF,wdi,Industry / Value Added by Sector,"Manufacturing, value added (% of GDP)","Manufacturing, value added (% of GDP)"
,keep,wdi__NV.IND.TOTL,wdi,Industry / Value Added by Sector,"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (% of GDP)"
,keep,wdi__NV.MNF.CHEM.ZS,wdi,Industry / Value Added by Sector,Chemicals (% of value added in manufacturing),Chemicals (% of value added in manufacturing)
,keep,wdi__NV.MNF.FBTO.ZS,wdi,Industry / Value Added by Sector,"Food, beverages and tobacco (% of value added in manufacturing)","Food, beverages and tobacco (% of value added in manufacturing)"
,keep,wdi__NV.MNF.MTRN.ZS,wdi,Industry / Value Added by Sector,Machinery and transport equipment (% of value added in manufacturing),Machinery and transport equipment (% of value added in manufacturing)
,keep,wdi__NV.MNF.OTHR.ZS,wdi,Industry / Value Added by Sector,Other manufacturing (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing)
,keep,wdi__NV.MNF.TXTL.ZS,wdi,Industry / Value Added by Sector,Textiles and clothing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing)
,keep,wdi__NV.SRV.TOTL,wdi,Industry / Value Added by Sector,"Services, value added (% of GDP)","Services, value added (% of GDP)"
,keep,wdi__NY.ADJ.AEDU.GN,wdi,Macro / National Accounts,Adjusted savings: education expenditure (% of GNI),Adjusted savings: education expenditure (% of GNI)
,keep,wdi__NY.ADJ.DCO2.GN,wdi,Macro / National Accounts,Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI)
,keep,wdi__NY.ADJ.DFOR.GN,wdi,Macro / National Accounts,Adjusted savings: net forest depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI)
,keep,wdi__NY.ADJ.DKAP.GN,wdi,Macro / National Accounts,Adjusted savings: consumption of fixed capital (% of GNI),Adjusted savings: consumption of fixed capital (% of GNI)
,keep,wdi__NY.ADJ.DMIN.GN,wdi,Macro / National Accounts,Adjusted savings: mineral depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI)
,keep,wdi__NY.ADJ.DNGY.GN,wdi,Macro / National Accounts,Adjusted savings: energy depletion (% of GNI),Adjusted savings: energy depletion (% of GNI)
,keep,wdi__NY.ADJ.DPEM.GN,wdi,Macro / National Accounts,Adjusted savings: particulate emission damage (% of GNI),Adjusted savings: particulate emission damage (% of GNI)
,keep,wdi__NY.ADJ.DRES.GN,wdi,Macro / National Accounts,Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: natural resources depletion (% of GNI)
,keep,wdi__NY.ADJ.ICTR.GN,wdi,Macro / National Accounts,Adjusted savings: gross savings (% of GNI),Adjusted savings: gross savings (% of GNI)
,keep,wdi__NY.ADJ.NNAT.GN,wdi,Macro / National Accounts,Adjusted savings: net national savings (% of GNI),Adjusted savings: net national savings (% of GNI)
,keep,wdi__NY.ADJ.SVNG.GN,wdi,Macro / National Accounts,"Adjusted net savings, including particulate emission damage (% of GNI)","Adjusted net savings, including particulate emission damage (% of GNI)"
,keep,wdi__NY.ADJ.SVNX.GN,wdi,Macro / National Accounts,"Adjusted net savings, excluding particulate emission damage (% of GNI)","Adjusted net savings, excluding particulate emission damage (% of GNI)"
,keep,wdi__NY.GDP.COAL.RT,wdi,Macro / National Accounts,Coal rents (% of GDP),Coal rents (% of GDP)
,keep,wdi__NY.GDP.DEFL,wdi,Macro / National Accounts,GDP deflator (base year varies by country),GDP deflator (base year varies by country)
,keep,wdi__NY.GDP.DEFL.ZS,wdi,Macro / National Accounts,GDP deflator: linked series (base year varies by country),GDP deflator: linked series (base year varies by country)
,keep,wdi__NY.GDP.FRST.RT,wdi,Macro / National Accounts,Forest rents (% of GDP),Forest rents (% of GDP)
,keep,wdi__NY.GDP.MINR.RT,wdi,Macro / National Accounts,Mineral rents (% of GDP),Mineral rents (% of GDP)
,keep,wdi__NY.GDP.NGAS.RT,wdi,Macro / National Accounts,Natural gas rents (% of GDP),Natural gas rents (% of GDP)
,keep,wdi__NY.GDP.PETR.RT,wdi,Macro / National Accounts,Oil rents (% of GDP),Oil rents (% of GDP)
,keep,wdi__NY.GDP.TOTL.RT,wdi,Macro / National Accounts,Total natural resources rents (% of GDP),Total natural resources rents (% of GDP)
,keep,wdi__NY.GDS.TOTL,wdi,Macro / National Accounts,Gross domestic savings (% of GDP),Gross domestic savings (% of GDP)
,keep,wdi__NY.GNS.ICTR,wdi,Macro / National Accounts,Gross savings (% of GDP),Gross savings (% of GDP)
,keep,wdi__NY.GNS.ICTR.GN,wdi,Macro / National Accounts,Gross savings (% of GNI),Gross savings (% of GNI)
,keep,wdi__PA.NUS.GDP,wdi,Purchasing Power Parity,Price level index (GDP),Price level index (GDP)
,keep,wdi__PA.NUS.PRVT,wdi,Purchasing Power Parity,Price level index (Households and NPISHs Final consumption expenditure),Price level index (Households and NPISHs Final consumption expenditure)
,keep,wdi__PX.REX,wdi,Price Indices,Real effective exchange rate index (2010 = 100),Real effective exchange rate index (2010 = 100)
,keep,wdi__SE.ADT.1524.LT,wdi,Education,"Literacy rate, youth total (% of people ages 15-24)","Literacy rate, youth total (% of people ages 15-24)"
,keep,wdi__SE.ADT.1524.LT.FE,wdi,Education,"Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth female (% of females ages 15-24)"
,keep,wdi__SE.ADT.1524.LT.MA,wdi,Education,"Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth male (% of males ages 15-24)"
,keep,wdi__SE.ADT.LITR,wdi,Education,"Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)"
,keep,wdi__SE.ADT.LITR.FE,wdi,Education,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult female (% of females ages 15 and above)"
,keep,wdi__SE.ADT.LITR.MA,wdi,Education,"Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)"
,keep,wdi__SE.LPV.PRIM.LD,wdi,Education,"Pupils below minimum reading proficiency at end of primary, by sex (%). Low GAML threshold","Pupils below minimum reading proficiency at end of primary, by sex (%). Low GAML threshold"
,keep,wdi__SE.PRE.ENRL.TC,wdi,Education,"Pupil-teacher ratio, preprimary","Pupil-teacher ratio, preprimary"
,keep,wdi__SE.PRE.TCAQ,wdi,Education,Trained teachers in preprimary education (% of total teachers),Trained teachers in preprimary education (% of total teachers)
,keep,wdi__SE.PRM,wdi,Education,"Primary education, pupils","Primary education, pupils"
,keep,wdi__SE.PRM.CMPT,wdi,Education,"Primary completion rate, total (% of relevant age group)","Primary completion rate, total (% of relevant age group)"
,keep,wdi__SE.PRM.CMPT.FE,wdi,Education,"Primary completion rate, female (% of relevant age group)","Primary completion rate, female (% of relevant age group)"
,keep,wdi__SE.PRM.CMPT.MA,wdi,Education,"Primary completion rate, male (% of relevant age group)","Primary completion rate, male (% of relevant age group)"
,keep,wdi__SE.PRM.CUAT,wdi,Education,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
,keep,wdi__SE.PRM.CUAT.FE,wdi,Education,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
,keep,wdi__SE.PRM.CUAT.MA,wdi,Education,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
,keep,wdi__SE.PRM.ENRL.FE,wdi,Education,"Primary education, pupils (% female)","Primary education, pupils (% female)"
,keep,wdi__SE.PRM.ENRL.TC,wdi,Education,"Pupil-teacher ratio, primary","Pupil-teacher ratio, primary"
,keep,wdi__SE.PRM.GINT,wdi,Education,"Gross intake ratio in first grade of primary education, total (% of relevant age group)","Gross intake ratio in first grade of primary education, total (% of relevant age group)"
,keep,wdi__SE.PRM.GINT.FE,wdi,Education,"Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, female (% of relevant age group)"
,keep,wdi__SE.PRM.GINT.MA,wdi,Education,"Gross intake ratio in first grade of primary education, male (% of relevant age group)","Gross intake ratio in first grade of primary education, male (% of relevant age group)"
,keep,wdi__SE.PRM.NINT,wdi,Education,Net intake rate in grade 1 (% of official school-age population),Net intake rate in grade 1 (% of official school-age population)
,keep,wdi__SE.PRM.NINT.FE,wdi,Education,"Net intake rate in grade 1, female (% of official school-age population)","Net intake rate in grade 1, female (% of official school-age population)"
,keep,wdi__SE.PRM.NINT.MA,wdi,Education,"Net intake rate in grade 1, male (% of official school-age population)","Net intake rate in grade 1, male (% of official school-age population)"
,keep,wdi__SE.PRM.OENR,wdi,Education,"Over-age students, primary (% of enrollment)","Over-age students, primary (% of enrollment)"
,keep,wdi__SE.PRM.OENR.FE,wdi,Education,"Over-age students, primary, female (% of female enrollment)","Over-age students, primary, female (% of female enrollment)"
,keep,wdi__SE.PRM.OENR.MA,wdi,Education,"Over-age students, primary, male (% of male enrollment)","Over-age students, primary, male (% of male enrollment)"
,keep,wdi__SE.PRM.PRIV,wdi,Education,"School enrollment, primary, private (% of total primary)","School enrollment, primary, private (% of total primary)"
,keep,wdi__SE.PRM.PRS5,wdi,Education,"Persistence to grade 5, total (% of cohort)","Persistence to grade 5, total (% of cohort)"
,keep,wdi__SE.PRM.PRS5.FE,wdi,Education,"Persistence to grade 5, female (% of cohort)","Persistence to grade 5, female (% of cohort)"
,keep,wdi__SE.PRM.PRS5.MA,wdi,Education,"Persistence to grade 5, male (% of cohort)","Persistence to grade 5, male (% of cohort)"
,keep,wdi__SE.PRM.PRSL,wdi,Education,"Persistence to last grade of primary, total (% of cohort)","Persistence to last grade of primary, total (% of cohort)"
,keep,wdi__SE.PRM.PRSL.FE,wdi,Education,"Persistence to last grade of primary, female (% of cohort)","Persistence to last grade of primary, female (% of cohort)"
,keep,wdi__SE.PRM.PRSL.MA,wdi,Education,"Persistence to last grade of primary, male (% of cohort)","Persistence to last grade of primary, male (% of cohort)"
,keep,wdi__SE.PRM.REPT,wdi,Education,"Repeaters, primary, total (% of total enrollment)","Repeaters, primary, total (% of total enrollment)"
,keep,wdi__SE.PRM.REPT.FE,wdi,Education,"Repeaters, primary, female (% of female enrollment)","Repeaters, primary, female (% of female enrollment)"
,keep,wdi__SE.PRM.REPT.MA,wdi,Education,"Repeaters, primary, male (% of male enrollment)","Repeaters, primary, male (% of male enrollment)"
,keep,wdi__SE.PRM.TCAQ,wdi,Education,Trained teachers in primary education (% of total teachers),Trained teachers in primary education (% of total teachers)
,keep,wdi__SE.PRM.TCAQ.FE,wdi,Education,"Trained teachers in primary education, female (% of female teachers)","Trained teachers in primary education, female (% of female teachers)"
,keep,wdi__SE.PRM.TCAQ.MA,wdi,Education,"Trained teachers in primary education, male (% of male teachers)","Trained teachers in primary education, male (% of male teachers)"
,keep,wdi__SE.PRM.TCHR.FE,wdi,Education,"Primary education, teachers (% female)","Primary education, teachers (% female)"
,keep,wdi__SE.PRM.TENR,wdi,Education,"Adjusted net enrollment rate, primary, by sex (% of primary school age children)","Adjusted net enrollment rate, primary, by sex (% of primary school age children)"
,keep,wdi__SE.PRM.UNER,wdi,Education,"Children out of school, primary, by sex","Children out of school, primary, by sex"
,keep,wdi__SE.PRM.UNER.FE,wdi,Education,"Children out of school, female (% of female primary school age)","Children out of school, female (% of female primary school age)"
,keep,wdi__SE.PRM.UNER.MA,wdi,Education,"Children out of school, male (% of male primary school age)","Children out of school, male (% of male primary school age)"
,keep,wdi__SE.SEC,wdi,Education,"Secondary education, pupils","Secondary education, pupils"
,keep,wdi__SE.SEC.CMPT.LO,wdi,Education,"Lower secondary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)"
,keep,wdi__SE.SEC.CMPT.LO.FE,wdi,Education,"Lower secondary completion rate, female (% of relevant age group)","Lower secondary completion rate, female (% of relevant age group)"
,keep,wdi__SE.SEC.CMPT.LO.MA,wdi,Education,"Lower secondary completion rate, male (% of relevant age group)","Lower secondary completion rate, male (% of relevant age group)"
,keep,wdi__SE.SEC.CUAT.LO,wdi,Education,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.LO.FE,wdi,Education,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.LO.MA,wdi,Education,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.PO,wdi,Education,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.PO.FE,wdi,Education,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.PO.MA,wdi,Education,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.UP,wdi,Education,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.UP.FE,wdi,Education,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
,keep,wdi__SE.SEC.CUAT.UP.MA,wdi,Education,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
,keep,wdi__SE.SEC.ENRL,wdi,Education,"Secondary education, general pupils","Secondary education, general pupils"
,keep,wdi__SE.SEC.ENRL.FE,wdi,Education,"Secondary education, pupils (% female)","Secondary education, pupils (% female)"
,keep,wdi__SE.SEC.ENRL.GC.FE,wdi,Education,"Secondary education, general pupils (% female)","Secondary education, general pupils (% female)"
,keep,wdi__SE.SEC.ENRL.LO.TC,wdi,Education,"Pupil-teacher ratio, lower secondary","Pupil-teacher ratio, lower secondary"
,keep,wdi__SE.SEC.ENRL.TC,wdi,Education,"Pupil-teacher ratio, secondary","Pupil-teacher ratio, secondary"
,keep,wdi__SE.SEC.ENRL.UP.TC,wdi,Education,"Pupil-teacher ratio, upper secondary","Pupil-teacher ratio, upper secondary"
,keep,wdi__SE.SEC.ENRL.VO.FE,wdi,Education,"Secondary education, vocational pupils (% female)","Secondary education, vocational pupils (% female)"
,keep,wdi__SE.SEC.PRIV,wdi,Education,"School enrollment, secondary, private (% of total secondary)","School enrollment, secondary, private (% of total secondary)"
,keep,wdi__SE.SEC.TCAQ,wdi,Education,Trained teachers in secondary education (% of total teachers),Trained teachers in secondary education (% of total teachers)
,keep,wdi__SE.SEC.TCAQ.FE,wdi,Education,"Trained teachers in secondary education, female (% of female teachers)","Trained teachers in secondary education, female (% of female teachers)"
,keep,wdi__SE.SEC.TCAQ.LO,wdi,Education,Trained teachers in lower secondary education (% of total teachers),Trained teachers in lower secondary education (% of total teachers)
,keep,wdi__SE.SEC.TCAQ.LO.FE,wdi,Education,"Trained teachers in lower secondary education, female (% of female teachers)","Trained teachers in lower secondary education, female (% of female teachers)"
,keep,wdi__SE.SEC.TCAQ.LO.MA,wdi,Education,"Trained teachers in lower secondary education, male (% of male teachers)","Trained teachers in lower secondary education, male (% of male teachers)"
,keep,wdi__SE.SEC.TCAQ.MA,wdi,Education,"Trained teachers in secondary education, male (% of male teachers)","Trained teachers in secondary education, male (% of male teachers)"
,keep,wdi__SE.SEC.TCAQ.UP,wdi,Education,Trained teachers in upper secondary education (% of total teachers),Trained teachers in upper secondary education (% of total teachers)
,keep,wdi__SE.SEC.TCAQ.UP.FE,wdi,Education,"Trained teachers in upper secondary education, female (% of female teachers)","Trained teachers in upper secondary education, female (% of female teachers)"
,keep,wdi__SE.SEC.TCAQ.UP.MA,wdi,Education,"Trained teachers in upper secondary education, male (% of male teachers)","Trained teachers in upper secondary education, male (% of male teachers)"
,keep,wdi__SE.SEC.TCHR,wdi,Education,"Secondary education, teachers, female","Secondary education, teachers, female"
,keep,wdi__SE.SEC.TCHR.FE,wdi,Education,"Secondary education, teachers (% female)","Secondary education, teachers (% female)"
,keep,wdi__SE.SEC.UNER.LO,wdi,Education,Adolescents out of school (% of lower secondary school age),Adolescents out of school (% of lower secondary school age)
,keep,wdi__SE.SEC.UNER.LO.FE,wdi,Education,"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, female (% of female lower secondary school age)"
,keep,wdi__SE.SEC.UNER.LO.MA,wdi,Education,"Adolescents out of school, male (% of male lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)"
,keep,wdi__SE.TER.CUAT.BA,wdi,Education,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.BA.FE,wdi,Education,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.BA.MA,wdi,Education,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.DO,wdi,Education,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.DO.FE,wdi,Education,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.DO.MA,wdi,Education,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.MS,wdi,Education,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.MS.FE,wdi,Education,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.MS.MA,wdi,Education,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.ST,wdi,Education,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.ST.FE,wdi,Education,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
,keep,wdi__SE.TER.CUAT.ST.MA,wdi,Education,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
,keep,wdi__SE.TER.ENRL.TC,wdi,Education,"Pupil-teacher ratio, tertiary","Pupil-teacher ratio, tertiary"
,keep,wdi__SE.TER.TCHR.FE,wdi,Education,"Tertiary education, academic staff (% female)","Tertiary education, academic staff (% female)"
,keep,wdi__SE.XPD.CPRM,wdi,Education,"Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)"
,keep,wdi__SE.XPD.CSEC,wdi,Education,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
,keep,wdi__SE.XPD.CTER,wdi,Education,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
,keep,wdi__SE.XPD.CTOT,wdi,Education,"Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, total (% of total expenditure in public institutions)"
,keep,wdi__SE.XPD.PRIM,wdi,Education,Expenditure on primary education (% of government expenditure on education),Expenditure on primary education (% of government expenditure on education)
,keep,wdi__SE.XPD.PRIM.PC,wdi,Education,"Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, primary (% of GDP per capita)"
,keep,wdi__SE.XPD.SECO,wdi,Education,Expenditure on secondary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education)
,keep,wdi__SE.XPD.SECO.PC,wdi,Education,"Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)"
,keep,wdi__SE.XPD.TERT,wdi,Education,Expenditure on tertiary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education)
,keep,wdi__SE.XPD.TERT.PC,wdi,Education,"Government expenditure per student, tertiary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)"
,keep,wdi__SE.XPD.TOTL.GB,wdi,Education,"Government expenditure on education, total (% of government expenditure)","Government expenditure on education, total (% of government expenditure)"
,keep,wdi__SE.XPD.TOTL.GD,wdi,Education,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of GDP)"
,keep,wdi__SH.ALC.PCAP,wdi,Health,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
,keep,wdi__SH.ALC.PCAP.FE,wdi,Health,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
,keep,wdi__SH.ALC.PCAP.MA,wdi,Health,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
,keep,wdi__SH.ANM.ALLW,wdi,Health,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of anemia among women of reproductive age (% of women ages 15-49)
,keep,wdi__SH.ANM.CHLD,wdi,Health,Prevalence of anemia among children (% of children ages 6-59 months),Prevalence of anemia among children (% of children ages 6-59 months)
,keep,wdi__SH.ANM.NPRG,wdi,Health,Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among non-pregnant women (% of women ages 15-49)
,keep,wdi__SH.DTH,wdi,Health,Number of infant deaths,Number of infant deaths
,keep,wdi__SH.DTH.COMM,wdi,Health,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
,keep,wdi__SH.DTH.INJR,wdi,Health,"Cause of death, by injury (% of total)","Cause of death, by injury (% of total)"
,keep,wdi__SH.DTH.NCOM,wdi,Health,"Cause of death, by non-communicable diseases (% of total)","Cause of death, by non-communicable diseases (% of total)"
,keep,wdi__SH.DTH.OCVD,wdi,Health,"Cause of death, by other COVID-19 pandemic-related outcomes (% of total)","Cause of death, by other COVID-19 pandemic-related outcomes (% of total)"
,keep,wdi__SH.H2O.BASW,wdi,Health,People using at least basic drinking water services (% of population),People using at least basic drinking water services (% of population)
,keep,wdi__SH.H2O.BASW.RU,wdi,Health,"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, rural (% of rural population)"
,keep,wdi__SH.H2O.BASW.UR,wdi,Health,"People using at least basic drinking water services, urban (% of urban population)","People using at least basic drinking water services, urban (% of urban population)"
,keep,wdi__SH.H2O.SMDW,wdi,Health,People using safely managed drinking water services (% of population),People using safely managed drinking water services (% of population)
,keep,wdi__SH.H2O.SMDW.RU,wdi,Health,"People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, rural (% of rural population)"
,keep,wdi__SH.H2O.SMDW.UR,wdi,Health,"People using safely managed drinking water services, urban (% of urban population)","People using safely managed drinking water services, urban (% of urban population)"
,keep,wdi__SH.IMM,wdi,Health,"Immunization, HepB3 (% of one-year-old children)","Immunization, HepB3 (% of one-year-old children)"
,keep,wdi__SH.MMR,wdi,Health,Number of maternal deaths,Number of maternal deaths
,keep,wdi__SH.PRV,wdi,Health,Prevalence of current tobacco use (% of adults),Prevalence of current tobacco use (% of adults)
,keep,wdi__SH.PRV.SMOK,wdi,Health,"Prevalence of current tobacco use, by sex (% of adults)","Prevalence of current tobacco use, by sex (% of adults)"
,keep,wdi__SH.SGR.CRSK,wdi,Health,Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of catastrophic expenditure for surgical care (% of people at risk)
,keep,wdi__SH.SGR.IRSK,wdi,Health,Risk of impoverishing expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk)
,keep,wdi__SH.STA,wdi,Health,Diarrhea treatment (% of children under 5 who received ORS packet),Diarrhea treatment (% of children under 5 who received ORS packet)
,keep,wdi__SH.STA.AIRP.FE,wdi,Health,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
,keep,wdi__SH.STA.AIRP.MA,wdi,Health,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
,keep,wdi__SH.STA.ARIC,wdi,Health,ARI treatment (% of children under 5 taken to a health provider),ARI treatment (% of children under 5 taken to a health provider)
,keep,wdi__SH.STA.BASS,wdi,Health,People using at least basic sanitation services (% of population),People using at least basic sanitation services (% of population)
,keep,wdi__SH.STA.BASS.RU,wdi,Health,"People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, rural (% of rural population)"
,keep,wdi__SH.STA.BASS.UR,wdi,Health,"People using at least basic sanitation services, urban (% of urban population)","People using at least basic sanitation services, urban (% of urban population)"
,keep,wdi__SH.STA.BFED,wdi,Health,Exclusive breastfeeding (% of children under 6 months),Exclusive breastfeeding (% of children under 6 months)
,keep,wdi__SH.STA.BRTC,wdi,Health,Births attended by skilled health staff (% of total),Births attended by skilled health staff (% of total)
,keep,wdi__SH.STA.DIAB,wdi,Health,Diabetes prevalence (% of population ages 20 to 79),Diabetes prevalence (% of population ages 20 to 79)
