chart_id,old_title_fa,new_title_fa,note
faostat__Soya beans__production,تولید، سطح زیر کشت و عملکرد سویا,سویا,faostat-commodity term
faostat__Soyabean Oil__consumption,سرانه مصرف روغن سویا,روغن سویا,faostat-commodity term
faostat__Soyabean Oil__trade,صادرات و واردات روغن سویا,روغن سویا,faostat-commodity term
faostat__Soyabeans__trade,صادرات و واردات سویا,سویا,faostat-commodity term
"faostat__Spices, Other__consumption",سرانه مصرف سایر ادویه‌جات,سایر ادویه‌جات,faostat-commodity term
"faostat__Spices, Other__trade",صادرات و واردات سایر ادویه‌جات,سایر ادویه‌جات,faostat-commodity term
faostat__Spices__consumption,سرانه مصرف ادویه‌جات,ادویه‌جات,faostat-commodity term
faostat__Spices__trade,صادرات و واردات ادویه‌جات,ادویه‌جات,faostat-commodity term
faostat__Spinach__price,قیمت تولیدکننده اسفناج,اسفناج,faostat-commodity term
faostat__Spinach__production,تولید، سطح زیر کشت و عملکرد اسفناج,اسفناج,faostat-commodity term
faostat__Starchy Roots__consumption,سرانه مصرف ریشه‌های نشاسته‌ای,ریشه‌های نشاسته‌ای,faostat-commodity term
faostat__Starchy Roots__trade,صادرات و واردات ریشه‌های نشاسته‌ای,ریشه‌های نشاسته‌ای,faostat-commodity term
faostat__Stimulants__consumption,سرانه مصرف محصولات محرک,محصولات محرک,faostat-commodity term
faostat__Stimulants__trade,صادرات و واردات محصولات محرک,محصولات محرک,faostat-commodity term
faostat__Strawberries__price,قیمت تولیدکننده توت‌فرنگی,توت‌فرنگی,faostat-commodity term
faostat__Strawberries__production,تولید، سطح زیر کشت و عملکرد توت‌فرنگی,توت‌فرنگی,faostat-commodity term
faostat__String beans__price,قیمت تولیدکننده لوبیا سبز,لوبیا سبز,faostat-commodity term
faostat__Sugar & Sweeteners__consumption,سرانه مصرف قند، شکر و شیرین‌کننده‌ها,شکر و شیرین‌کننده‌ها,faostat-commodity term
faostat__Sugar & Sweeteners__trade,صادرات و واردات قند، شکر و شیرین‌کننده‌ها,شکر و شیرین‌کننده‌ها,faostat-commodity term
faostat__Sugar (Raw Equivalent)__consumption,سرانه مصرف شکر (معادل خام),شکر (معادل خام),faostat-commodity term
faostat__Sugar (Raw Equivalent)__trade,صادرات و واردات شکر (معادل خام),شکر (معادل خام),faostat-commodity term
faostat__Sugar Crops Primary__production,تولید، سطح زیر کشت و عملکرد محصولات قندی، اولیه,محصولات قندی، اولیه,faostat-commodity term
faostat__Sugar Crops__consumption,سرانه مصرف محصولات قندی,محصولات قندی,faostat-commodity term
faostat__Sugar Crops__trade,صادرات و واردات محصولات قندی,محصولات قندی,faostat-commodity term
faostat__Sugar beet__price,قیمت تولیدکننده چغندرقند,چغندرقند,faostat-commodity term
faostat__Sugar beet__production,تولید، سطح زیر کشت و عملکرد چغندرقند,چغندرقند,faostat-commodity term
faostat__Sugar beet__trade,صادرات و واردات چغندرقند,چغندرقند,faostat-commodity term
faostat__Sugar cane__consumption,سرانه مصرف نیشکر,نیشکر,faostat-commodity term
faostat__Sugar cane__price,قیمت تولیدکننده نیشکر,نیشکر,faostat-commodity term
faostat__Sugar cane__production,تولید، سطح زیر کشت و عملکرد نیشکر,نیشکر,faostat-commodity term
faostat__Sugar cane__trade,صادرات و واردات نیشکر,نیشکر,faostat-commodity term
faostat__Sunflower seed__price,قیمت تولیدکننده دانه آفتابگردان,دانه آفتابگردان,faostat-commodity term
faostat__Sunflower seed__production,تولید، سطح زیر کشت و عملکرد دانه آفتابگردان,دانه آفتابگردان,faostat-commodity term
faostat__Sunflower seed__trade,صادرات و واردات دانه آفتابگردان,دانه آفتابگردان,faostat-commodity term
"faostat__Sunflower-seed oil, crude__production",تولید روغن آفتابگردان، خام (تن),روغن آفتابگردان، خام,faostat-commodity term
faostat__Sunflowerseed Oil__consumption,سرانه مصرف روغن آفتابگردان,روغن آفتابگردان,faostat-commodity term
faostat__Sunflowerseed Oil__trade,صادرات و واردات روغن آفتابگردان,روغن آفتابگردان,faostat-commodity term
faostat__Sweet potatoes__trade,صادرات و واردات سیب‌زمینی شیرین,سیب‌زمینی شیرین,faostat-commodity term
"faostat__Sweeteners, Other__consumption",سرانه مصرف سایر شیرین‌کننده‌ها,سایر شیرین‌کننده‌ها,faostat-commodity term
"faostat__Sweeteners, Other__trade",صادرات و واردات سایر شیرین‌کننده‌ها,سایر شیرین‌کننده‌ها,faostat-commodity term
faostat__Swine / pigs__production,تولید، سطح زیر کشت و عملکرد خوک,خوک,faostat-commodity term
faostat__Tallow__production,تولید پیه (تن),پیه,faostat-commodity term
"faostat__Tangerines, mandarins, clementines__price",قیمت تولیدکننده نارنگی و کلمانتین,نارنگی و کلمانتین,faostat-commodity term
"faostat__Tangerines, mandarins, clementines__production",تولید، سطح زیر کشت و عملکرد نارنگی و کلمانتین,نارنگی و کلمانتین,faostat-commodity term
faostat__Tea (including mate)__consumption,سرانه مصرف چای (شامل ماته),چای، شامل ماته,faostat-commodity term
faostat__Tea (including mate)__trade,صادرات و واردات چای (شامل ماته),چای، شامل ماته,faostat-commodity term
faostat__Tea leaves__price,قیمت تولیدکننده برگ چای,برگ چای,faostat-commodity term
faostat__Tea leaves__production,تولید، سطح زیر کشت و عملکرد برگ چای,برگ چای,faostat-commodity term
faostat__Tomatoes and products__consumption,سرانه مصرف گوجه‌فرنگی و فرآورده‌های آن,گوجه‌فرنگی و فرآورده‌های آن,faostat-commodity term
faostat__Tomatoes and products__trade,صادرات و واردات گوجه‌فرنگی و فرآورده‌های آن,گوجه‌فرنگی و فرآورده‌های آن,faostat-commodity term
faostat__Tomatoes__price,قیمت تولیدکننده گوجه‌فرنگی,گوجه‌فرنگی,faostat-commodity term
faostat__Tomatoes__production,تولید، سطح زیر کشت و عملکرد گوجه‌فرنگی,گوجه‌فرنگی,faostat-commodity term
"faostat__Treenuts, Total__price",قیمت تولیدکننده آجیل درختی، جمع کل,آجیل درختی (کل),faostat-commodity term
"faostat__Treenuts, Total__production",تولید، سطح زیر کشت و عملکرد آجیل درختی، جمع کل,آجیل درختی (کل),faostat-commodity term
faostat__Treenuts__consumption,سرانه مصرف آجیل درختی,آجیل درختی,faostat-commodity term
faostat__Treenuts__trade,صادرات و واردات آجیل درختی,آجیل درختی,faostat-commodity term
faostat__Turkeys__production,تولید، سطح زیر کشت و عملکرد بوقلمون,بوقلمون,faostat-commodity term
faostat__Unmanufactured tobacco__price,قیمت تولیدکننده توتون خام,توتون خام,faostat-commodity term
faostat__Unmanufactured tobacco__production,تولید، سطح زیر کشت و عملکرد توتون خام,توتون خام,faostat-commodity term
faostat__Vegetable Oils__consumption,سرانه مصرف روغن‌های نباتی,روغن‌های نباتی,faostat-commodity term
faostat__Vegetable Oils__trade,صادرات و واردات روغن‌های نباتی,روغن‌های نباتی,faostat-commodity term
faostat__Vegetables Primary__price,قیمت تولیدکننده سبزیجات، اولیه,سبزیجات، اولیه,faostat-commodity term
faostat__Vegetables Primary__production,تولید، سطح زیر کشت و عملکرد سبزیجات، اولیه,سبزیجات، اولیه,faostat-commodity term
"faostat__Vegetables and Melons, Total__price",قیمت تولیدکننده سبزیجات و خربزه و هندوانه، جمع کل,سبزیجات و خربزه (کل),faostat-commodity term
"faostat__Vegetables, other__consumption",سرانه مصرف سایر سبزیجات,سایر سبزیجات,faostat-commodity term
"faostat__Vegetables, other__trade",صادرات و واردات سایر سبزیجات,سایر سبزیجات,faostat-commodity term
faostat__Vegetables__consumption,سرانه مصرف سبزیجات,سبزیجات,faostat-commodity term
faostat__Vegetables__trade,صادرات و واردات سبزیجات,سبزیجات,faostat-commodity term
faostat__Vegetal Products__consumption,سرانه مصرف محصولات گیاهی,فرآورده‌های گیاهی,faostat-commodity term
"faostat__Walnuts, in shell__price",قیمت تولیدکننده گردو با پوست,گردو با پوست,faostat-commodity term
"faostat__Walnuts, in shell__production",تولید، سطح زیر کشت و عملکرد گردو با پوست,گردو با پوست,faostat-commodity term
faostat__Watermelons__price,قیمت تولیدکننده هندوانه,هندوانه,faostat-commodity term
faostat__Watermelons__production,تولید، سطح زیر کشت و عملکرد هندوانه,هندوانه,faostat-commodity term
faostat__Wheat and products__consumption,سرانه مصرف گندم و فرآورده‌های آن,گندم و فرآورده‌های آن,faostat-commodity term
faostat__Wheat and products__trade,صادرات و واردات گندم و فرآورده‌های آن,گندم و فرآورده‌های آن,faostat-commodity term
faostat__Wheat__price,قیمت تولیدکننده گندم,گندم,faostat-commodity term
faostat__Wheat__production,تولید، سطح زیر کشت و عملکرد گندم,گندم,faostat-commodity term
"faostat__Whey, dry__production",تولید آب‌پنیر، خشک (تن),آب‌پنیر خشک,faostat-commodity term
faostat__Whole milk powder__production,تولید شیر خشک کامل (تن),شیر خشک کامل,faostat-commodity term
"faostat__Whole milk, condensed__production",تولید شیر کامل، غلیظ‌شده (تن),شیر کامل غلیظ‌شده,faostat-commodity term
"faostat__Whole milk, evaporated__production",تولید شیر کامل، تبخیرشده (تن),شیر کامل تبخیرشده,faostat-commodity term
faostat__Wine__consumption,سرانه مصرف شراب,شراب,faostat-commodity term
fx__official_vs_parallel_gap_irn,نرخ ارز رسمی ایران در برابر بازار موازی (سیاه) دلار و شکاف میان آن‌ها,نرخ ارز دلار آمریکا,FX chart consolidation
proposed__external_debt_net_flows_by_creditor_type,جریان‌های خالص بدهی خارجی، به تفکیک نوع بستانکار (دلار جاری آمریکا),جریان خالص بدهی خارجی به تفکیک نوع طلبکار,strip-unit: subject-only translation
proposed__net_official_flows_un_agencies,جریان‌های رسمی خالص از نهادهای سازمان ملل، به تفکیک نهاد (دلار جاری آمریکا),جریان‌های رسمی خالص از آژانس‌های سازمان ملل، به تفکیک آژانس,strip-unit: subject-only translation
wdi__AG.LND.AGRI,زمین‌های کشاورزی (کیلومتر مربع),زمین کشاورزی,strip-unit: subject-only translation
wdi__AG.LND.EL5M.RU,مساحت زمین‌های روستایی با ارتفاع کمتر از 5 متر (کیلومتر مربع),مساحت اراضی روستایی با ارتفاع کمتر از 5 متر,strip-unit: subject-only translation
wdi__AG.LND.EL5M.UR,مساحت زمین‌های شهری با ارتفاع کمتر از 5 متر (کیلومتر مربع),مساحت اراضی شهری با ارتفاع کمتر از 5 متر,strip-unit: subject-only translation
wdi__AG.LND.FRST,مساحت جنگل (کیلومتر مربع),مساحت جنگل,strip-unit: subject-only translation
wdi__AG.LND.TOTL,مساحت زمین (کیلومتر مربع),مساحت خشکی,strip-unit: subject-only translation
wdi__AG.LND.TOTL.RU,مساحت زمین‌های روستایی (کیلومتر مربع),مساحت اراضی روستایی,strip-unit: subject-only translation
wdi__AG.LND.TOTL.UR,مساحت زمین‌های شهری (کیلومتر مربع),مساحت اراضی شهری,strip-unit: subject-only translation
wdi__AG.PRD.CREL,تولید غلات (تن متریک),تولید غلات,strip-unit: subject-only translation
wdi__AG.SRF.TOTL,مساحت کل (کیلومتر مربع),مساحت کل,strip-unit: subject-only translation
wdi__AG.YLD.CREL,عملکرد غلات (کیلوگرم به ازای هر هکتار),عملکرد غلات,strip-unit: subject-only translation
wdi__BM.GSR.FCTY,پرداخت‌های درآمد اولیه (موازنه پرداخت‌ها، دلار جاری آمریکا),پرداخت‌های درآمد اولیه,strip-unit: subject-only translation
wdi__BM.GSR.GNFS,واردات کالا و خدمات (موازنه پرداخت‌ها، دلار جاری آمریکا),واردات کالا و خدمات,strip-unit: subject-only translation
wdi__BM.GSR.MRCH,واردات کالا (موازنه پرداخت‌ها، دلار جاری آمریکا),واردات کالا,strip-unit: subject-only translation
wdi__BM.GSR.NFSV,واردات خدمات (موازنه پرداخت‌ها، دلار جاری آمریکا),واردات خدمات,strip-unit: subject-only translation
wdi__BM.GSR.TOTL,واردات کالا، خدمات و درآمد اولیه (موازنه پرداخت‌ها، دلار جاری آمریکا),واردات کالا، خدمات و درآمد اولیه,strip-unit: subject-only translation
wdi__BM.KLT.DINV.CD,سرمایه‌گذاری مستقیم خارجی، خروج خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),خروجی خالص سرمایه‌گذاری مستقیم خارجی,strip-unit: subject-only translation
wdi__BM.TRF.PRVT,درآمد ثانویه، سایر بخش‌ها، پرداخت‌ها (موازنه پرداخت‌ها، دلار جاری آمریکا),پرداخت‌های درآمد ثانویه، سایر بخش‌ها,strip-unit: subject-only translation
wdi__BN.CAB.XOKA,موازنه حساب جاری (موازنه پرداخت‌ها، دلار جاری آمریکا),تراز حساب جاری,strip-unit: subject-only translation
wdi__BN.FIN.TOTL,حساب مالی خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),حساب مالی خالص,strip-unit: subject-only translation
wdi__BN.GSR.FCTY,درآمد اولیه خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),درآمد اولیه خالص,strip-unit: subject-only translation
wdi__BN.GSR.GNFS,تجارت خالص کالا و خدمات (موازنه پرداخت‌ها، دلار جاری آمریکا),تجارت خالص کالا و خدمات,strip-unit: subject-only translation
wdi__BN.GSR.MRCH,تجارت خالص کالا (موازنه پرداخت‌ها، دلار جاری آمریکا),تجارت خالص کالا,strip-unit: subject-only translation
wdi__BN.KAC.EOMS,خطاها و اقلام حذف‌شده خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),خالص خطاها و اشتباهات آماری,strip-unit: subject-only translation
wdi__BN.KLT.DINV,سرمایه‌گذاری مستقیم خارجی، خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),خالص سرمایه‌گذاری مستقیم خارجی,strip-unit: subject-only translation
wdi__BN.RES.INCL,ذخایر و اقلام مرتبط (موازنه پرداخت‌ها، دلار جاری آمریکا),ذخایر و اقلام مرتبط,strip-unit: subject-only translation
wdi__BN.TRF.CURR,درآمد ثانویه خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),درآمد ثانویه خالص,strip-unit: subject-only translation
wdi__BX.GRT.EXTA.CD,کمک‌های بلاعوض، به استثنای همکاری‌های فنی (موازنه پرداخت‌ها، دلار جاری آمریکا),کمک‌های بلاعوض (به استثنای همکاری فنی),strip-unit: subject-only translation
wdi__BX.GRT.TECH.CD,کمک‌های بلاعوض همکاری فنی (موازنه پرداخت‌ها، دلار جاری آمریکا),کمک‌های بلاعوض همکاری فنی,strip-unit: subject-only translation
wdi__BX.GSR.FCTY,دریافتی‌های درآمد اولیه (موازنه پرداخت‌ها، دلار جاری آمریکا),دریافتی‌های درآمد اولیه,strip-unit: subject-only translation
wdi__BX.GSR.GNFS,صادرات کالا و خدمات (موازنه پرداخت‌ها، دلار جاری آمریکا),صادرات کالا و خدمات,strip-unit: subject-only translation
wdi__BX.GSR.MRCH,صادرات کالا (موازنه پرداخت‌ها، دلار جاری آمریکا),صادرات کالا,strip-unit: subject-only translation
wdi__BX.GSR.NFSV,صادرات خدمات (موازنه پرداخت‌ها، دلار جاری آمریکا),صادرات خدمات,strip-unit: subject-only translation
wdi__BX.GSR.TOTL,صادرات کالا، خدمات و درآمد اولیه (موازنه پرداخت‌ها، دلار جاری آمریکا),صادرات کالا، خدمات و درآمد اولیه,strip-unit: subject-only translation
wdi__BX.KLT.DINV.CD,سرمایه‌گذاری مستقیم خارجی، ورود خالص (موازنه پرداخت‌ها، دلار جاری آمریکا),ورودی خالص سرمایه‌گذاری مستقیم خارجی,strip-unit: subject-only translation
wdi__BX.TRF.CURR,دریافتی‌های درآمد ثانویه (موازنه پرداخت‌ها، دلار جاری آمریکا),دریافتی‌های درآمد ثانویه,strip-unit: subject-only translation
wdi__BX.TRF.PWKR.CD,حواله‌های شخصی دریافتی (دلار جاری آمریکا),حواله‌های شخصی دریافتی,strip-unit: subject-only translation
wdi__CM.MKT,سهام معامله‌شده، نسبت گردش سهام داخلی (درصد),نسبت گردش معاملات سهام داخلی,strip-unit: subject-only translation
wdi__CM.MKT.LCAP,ارزش بازار شرکت‌های داخلی پذیرفته‌شده در بورس (دلار جاری آمریکا),ارزش بازار شرکت‌های داخلی پذیرفته‌شده در بورس,strip-unit: subject-only translation
wdi__CM.MKT.TRAD,سهام معامله‌شده، ارزش کل (دلار جاری آمریکا),ارزش کل سهام معامله‌شده,strip-unit: subject-only translation
wdi__DC.DAC.TOTL,جریان‌های کمک دوجانبه خالص از اعضای کمیته کمک توسعه (DAC)، کل (دلار جاری آمریکا),جریان خالص کمک‌های دوجانبه از کشورهای عضو کمیته کمک توسعه,strip-unit: subject-only translation
wdi__DT.DOD.DECT,کل ذخیره بدهی خارجی (DOD، دلار جاری آمریکا),مانده کل بدهی خارجی,strip-unit: subject-only translation
wdi__DT.DOD.DIMF,استفاده از اعتبار صندوق بین‌المللی پول (DOD، دلار جاری آمریکا),استفاده از اعتبار صندوق بین‌المللی پول,strip-unit: subject-only translation
wdi__DT.DOD.DLXF,ذخیره بدهی خارجی بلندمدت (DOD، دلار جاری آمریکا),مانده بدهی خارجی بلندمدت,strip-unit: subject-only translation
wdi__DT.DOD.DPNG,ذخیره بدهی خارجی، بخش خصوصی بدون تضمین دولتی (PNG) (DOD، دلار جاری آمریکا),مانده بدهی خارجی خصوصی بدون تضمین,strip-unit: subject-only translation
wdi__DT.DOD.DPPG,ذخیره بدهی خارجی، بخش عمومی و دارای تضمین دولتی (PPG) (DOD، دلار جاری آمریکا),مانده بدهی خارجی دولتی و تضمین‌شده دولتی,strip-unit: subject-only translation
wdi__DT.DOD.MIBR,بدهی عمومی و دارای تضمین دولتی نزد بانک بین‌المللی ترمیم و توسعه (PPG، IBRD) (DOD، دلار جاری آمریکا),بدهی دولتی و تضمین‌شده دولتی نزد بانک بین‌المللی ترمیم و توسعه,strip-unit: subject-only translation
wdi__DT.DOD.MWBG,وام‌های بانک بین‌المللی ترمیم و توسعه (IBRD) و اعتبارات انجمن توسعه بین‌الملل (IDA) (DOD، دلار جاری آمریکا),وام‌های بانک بین‌المللی ترمیم و توسعه و اعتبارات موسسه توسعه بین‌المللی,strip-unit: subject-only translation
wdi__DT.DOD.PVLX,ارزش فعلی بدهی خارجی (دلار جاری آمریکا),ارزش فعلی بدهی خارجی,strip-unit: subject-only translation
wdi__DT.ODA.ALLD,کمک توسعه رسمی و کمک رسمی خالص دریافتی (دلار جاری آمریکا),خالص کمک رسمی توسعه و کمک‌های رسمی دریافتی,strip-unit: subject-only translation
wdi__DT.ODA.ODAT,کمک توسعه رسمی خالص دریافتی (دلار جاری آمریکا),خالص کمک رسمی توسعه دریافتی,strip-unit: subject-only translation
wdi__DT.ODA.ODAT.PC,سرانه کمک توسعه رسمی خالص دریافتی (دلار جاری آمریکا),سرانه کمک رسمی توسعه خالص دریافتی,strip-unit: subject-only translation
wdi__DT.TDS.DECT,کل بازپرداخت بدهی خارجی (TDS، دلار جاری آمریکا),بازپرداخت کل بدهی خارجی,strip-unit: subject-only translation
wdi__DT.TDS.DIMF,بازخرید و کارمزدهای صندوق بین‌المللی پول (TDS، دلار جاری آمریکا),بازخرید و کارمزدهای صندوق بین‌المللی پول,strip-unit: subject-only translation
wdi__DT.TDS.DPPG,بازپرداخت بدهی خارجی، بخش عمومی و دارای تضمین دولتی (PPG) (TDS، دلار جاری آمریکا),بازپرداخت بدهی خارجی دولتی و تضمین‌شده دولتی,strip-unit: subject-only translation
wdi__DT.TDS.MLAT,بازپرداخت بدهی چندجانبه (TDS، دلار جاری آمریکا),بازپرداخت بدهی چندجانبه,strip-unit: subject-only translation
wdi__EG.ELC.RNWX,تولید برق از منابع تجدیدپذیر، به استثنای برق‌آبی (کیلووات‌ساعت),تولید برق از منابع تجدیدپذیر (به استثنای برق‌آبی),strip-unit: subject-only translation
wdi__EN.GHG.ALL.LU.MT.CE,کل انتشار گازهای گلخانه‌ای شامل LULUCF (مگاتن معادل CO2),مجموع انتشار گازهای گلخانه‌ای، شامل تغییر کاربری اراضی و جنگل‌داری,strip-unit: subject-only translation
wdi__EN.GHG.CH4.AG.MT.CE,انتشار متان (CH4) از کشاورزی (مگاتن معادل CO2),انتشار متان از کشاورزی,strip-unit: subject-only translation
wdi__EN.GHG.CH4.BU.MT.CE,انتشار متان (CH4) از ساختمان (انرژی) (مگاتن معادل CO2),انتشار متان از ساختمان (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CH4.FE.MT.CE,انتشار متان (CH4) از نشتی‌های صنعت انرژی (مگاتن معادل CO2),انتشار متان از نشتی‌های گازی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CH4.IC.MT.CE,انتشار متان (CH4) از احتراق صنعتی (انرژی) (مگاتن معادل CO2),انتشار متان از احتراق صنعتی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CH4.IP.MT.CE,انتشار متان (CH4) از فرآیندهای صنعتی (مگاتن معادل CO2),انتشار متان از فرآیندهای صنعتی,strip-unit: subject-only translation
wdi__EN.GHG.CH4.PI.MT.CE,انتشار متان (CH4) از صنعت برق (انرژی) (مگاتن معادل CO2),انتشار متان از صنعت برق (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CH4.TR.MT.CE,انتشار متان (CH4) از حمل‌ونقل (انرژی) (مگاتن معادل CO2),انتشار متان از حمل‌ونقل (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CH4.WA.MT.CE,انتشار متان (CH4) از پسماند (مگاتن معادل CO2),انتشار متان از پسماند,strip-unit: subject-only translation
wdi__EN.GHG.CO2.AG.MT.CE,انتشار دی‌اکسید کربن (CO2) از کشاورزی (مگاتن معادل CO2),انتشار دی‌اکسید کربن از کشاورزی,strip-unit: subject-only translation
wdi__EN.GHG.CO2.BU.MT.CE,انتشار دی‌اکسید کربن (CO2) از ساختمان (انرژی) (مگاتن معادل CO2),انتشار دی‌اکسید کربن از ساختمان (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CO2.FE.MT.CE,انتشار دی‌اکسید کربن (CO2) از نشتی‌های صنعت انرژی (مگاتن معادل CO2),انتشار دی‌اکسید کربن از نشتی‌های گازی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CO2.IC.MT.CE,انتشار دی‌اکسید کربن (CO2) از احتراق صنعتی (انرژی) (مگاتن معادل CO2),انتشار دی‌اکسید کربن از احتراق صنعتی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CO2.IP.MT.CE,انتشار دی‌اکسید کربن (CO2) از فرآیندهای صنعتی (مگاتن معادل CO2),انتشار دی‌اکسید کربن از فرآیندهای صنعتی,strip-unit: subject-only translation
wdi__EN.GHG.CO2.LU.DF.MT.CE,شار خالص دی‌اکسید کربن (CO2) از LULUCF، جنگل‌زدایی (مگاتن معادل CO2),خالص انتشار دی‌اکسید کربن از تغییر کاربری اراضی و جنگل‌داری، جنگل‌زدایی,strip-unit: subject-only translation
wdi__EN.GHG.CO2.LU.FL.MT.CE,شار خالص دی‌اکسید کربن (CO2) از اراضی جنگلی LULUCF (مگاتن معادل CO2),خالص انتشار دی‌اکسید کربن از تغییر کاربری اراضی و جنگل‌داری، اراضی جنگلی,strip-unit: subject-only translation
wdi__EN.GHG.CO2.LU.MT.CE,شار خالص دی‌اکسید کربن (CO2) از کل اراضی LULUCF، به استثنای آتش‌سوزی‌های غیرگرمسیری (مگاتن معادل CO2),خالص انتشار دی‌اکسید کربن از تغییر کاربری اراضی و جنگل‌داری (به استثنای آتش‌سوزی‌های غیرگرمسیری),strip-unit: subject-only translation
wdi__EN.GHG.CO2.PI.MT.CE,انتشار دی‌اکسید کربن (CO2) از صنعت برق (انرژی) (مگاتن معادل CO2),انتشار دی‌اکسید کربن از صنعت برق (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.CO2.TR.MT.CE,انتشار دی‌اکسید کربن (CO2) از حمل‌ونقل (انرژی) (مگاتن معادل CO2),انتشار دی‌اکسید کربن از حمل‌ونقل (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.FGAS.IP.MT.CE,انتشار گازهای فلوئوردار (F-gases) از فرآیندهای صنعتی (مگاتن معادل CO2),انتشار گازهای فلوئوردار از فرآیندهای صنعتی,strip-unit: subject-only translation
wdi__EN.GHG.N2O.AG.MT.CE,انتشار اکسید نیتروژن (N2O) از کشاورزی (مگاتن معادل CO2),انتشار اکسید نیتروز از کشاورزی,strip-unit: subject-only translation
wdi__EN.GHG.N2O.BU.MT.CE,انتشار اکسید نیتروژن (N2O) از ساختمان (انرژی) (مگاتن معادل CO2),انتشار اکسید نیتروز از ساختمان (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.N2O.FE.MT.CE,انتشار اکسید نیتروژن (N2O) از نشتی‌های صنعت انرژی (مگاتن معادل CO2),انتشار اکسید نیتروز از نشتی‌های گازی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.N2O.IC.MT.CE,انتشار اکسید نیتروژن (N2O) از احتراق صنعتی (انرژی) (مگاتن معادل CO2),انتشار اکسید نیتروز از احتراق صنعتی (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.N2O.IP.MT.CE,انتشار اکسید نیتروژن (N2O) از فرآیندهای صنعتی (مگاتن معادل CO2),انتشار اکسید نیتروز از فرآیندهای صنعتی,strip-unit: subject-only translation
wdi__EN.GHG.N2O.PI.MT.CE,انتشار اکسید نیتروژن (N2O) از صنعت برق (انرژی) (مگاتن معادل CO2),انتشار اکسید نیتروز از صنعت برق (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.N2O.TR.MT.CE,انتشار اکسید نیتروژن (N2O) از حمل‌ونقل (انرژی) (مگاتن معادل CO2),انتشار اکسید نیتروز از حمل‌ونقل (انرژی),strip-unit: subject-only translation
wdi__EN.GHG.N2O.WA.MT.CE,انتشار اکسید نیتروژن (N2O) از پسماند (مگاتن معادل CO2),انتشار اکسید نیتروز از پسماند,strip-unit: subject-only translation
wdi__ER.FSH.AQUA,تولید آبزی‌پروری (تن متریک),تولید آبزی‌پروری,strip-unit: subject-only translation
wdi__ER.FSH.CAPT,تولید صید شیلاتی (تن متریک),تولید صید ماهی,strip-unit: subject-only translation
wdi__ER.FSH.PROD,کل تولید شیلات (تن متریک),تولید کل شیلات,strip-unit: subject-only translation
wdi__FB.ATM.TOTL,دستگاه‌های خودپرداز (ATM) (به ازای هر 100000 نفر بزرگسال),دستگاه‌های خودپرداز,strip-unit: subject-only translation
wdi__FB.CBK.BRCH,شعب بانک‌های تجاری (به ازای هر 100000 نفر بزرگسال),شعب بانک‌های تجاری,strip-unit: subject-only translation
wdi__FI.RES.XGLD,کل ذخایر منهای طلا (دلار جاری آمریکا),کل ذخایر به استثنای طلا,strip-unit: subject-only translation
wdi__FM.AST.DOMS,اعتبار داخلی خالص (ریال جاری),خالص اعتبارات داخلی,strip-unit: subject-only translation
wdi__FM.AST.NFRG,دارایی‌های خارجی خالص (ریال جاری),خالص دارایی‌های خارجی,strip-unit: subject-only translation
wdi__FM.AST.PRVT.GD,اعتبار بخش پولی به بخش خصوصی (درصد از تولید ناخالص داخلی),اعتبار بخش پولی به بخش خصوصی,strip-unit: subject-only translation
wdi__FM.LBL.BMNY,نقدینگی (ریال جاری),نقدینگی,strip-unit: subject-only translation
wdi__FP.CPI.TOTL,تورم، قیمت‌های مصرف‌کننده (درصد سالانه),تورم قیمت مصرف‌کننده,strip-unit: subject-only translation
wdi__FR.INR,نرخ بهره واقعی (درصد),نرخ بهره واقعی,strip-unit: subject-only translation
wdi__FS.AST.CGOV.GD,مطالبات از دولت مرکزی و موارد مشابه (درصد از تولید ناخالص داخلی),مطالبات از دولت مرکزی و سایر,strip-unit: subject-only translation
wdi__GC.AST.TOTL,تحصیل خالص دارایی‌های مالی (ریال جاری),خالص تحصیل دارایی‌های مالی,strip-unit: subject-only translation
wdi__GC.LBL.TOTL,افزایش خالص بدهی‌ها، کل (ریال جاری),خالص ایجاد بدهی‌ها (کل),strip-unit: subject-only translation
