Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per person	Quintile 3	09 Recreation and culture	2011	614.22
Average expenditure per person	Quintile 3	09 Recreation and culture	2010	605.37
Average expenditure per person	Quintile 3	09 Recreation and culture	2009	637.08
Average expenditure per person	Quintile 3	09 Recreation and culture	2008	691.64
Average expenditure per person	Quintile 3	09 Recreation and culture	2007	668.05
Average expenditure per person	Quintile 3	09 Recreation and culture	2006	640.16
Average expenditure per person	Quintile 3	10 Education	2023	156.55
Average expenditure per person	Quintile 3	10 Education	2022	180.93
Average expenditure per person	Quintile 3	10 Education	2021	154.17
Average expenditure per person	Quintile 3	10 Education	2020	139.52
Average expenditure per person	Quintile 3	10 Education	2019	156.25
Average expenditure per person	Quintile 3	10 Education	2018	144.64
Average expenditure per person	Quintile 3	10 Education	2017	136.62
Average expenditure per person	Quintile 3	10 Education	2016	130.74
Average expenditure per person	Quintile 3	10 Education	2015	131.65
Average expenditure per person	Quintile 3	10 Education	2014	128.57
Average expenditure per person	Quintile 3	10 Education	2013	115.34
Average expenditure per person	Quintile 3	10 Education	2012	115.75
Average expenditure per person	Quintile 3	10 Education	2011	104.35
Average expenditure per person	Quintile 3	10 Education	2010	99.13
Average expenditure per person	Quintile 3	10 Education	2009	93.79
Average expenditure per person	Quintile 3	10 Education	2008	98.27
Average expenditure per person	Quintile 3	10 Education	2007	96.33
Average expenditure per person	Quintile 3	10 Education	2006	74.90
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2023	1,148.69
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2022	1,000.20
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2021	773.39
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2020	564.02
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2019	1,054.49
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2018	1,036.89
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2017	1,061.67
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2016	958.21
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2015	859.50
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2014	802.11
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2013	754.88
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2012	836.54
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2011	896.63
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2010	915.50
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2009	980.62
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2008	1,038.63
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2007	1,056.46
Average expenditure per person	Quintile 3	11 Restaurants and hotels	2006	952.31
Average expenditure per person	Quintile 3	12 Other goods and services	2023	897.67
Average expenditure per person	Quintile 3	12 Other goods and services	2022	877.84
Average expenditure per person	Quintile 3	12 Other goods and services	2021	823.57
Average expenditure per person	Quintile 3	12 Other goods and services	2020	771.33
Average expenditure per person	Quintile 3	12 Other goods and services	2019	835.96
Average expenditure per person	Quintile 3	12 Other goods and services	2018	854.07
Average expenditure per person	Quintile 3	12 Other goods and services	2017	808.17
Average expenditure per person	Quintile 3	12 Other goods and services	2016	793.94
Average expenditure per person	Quintile 3	12 Other goods and services	2015	722.35
Average expenditure per person	Quintile 3	12 Other goods and services	2014	704.73
Average expenditure per person	Quintile 3	12 Other goods and services	2013	697.18
Average expenditure per person	Quintile 3	12 Other goods and services	2012	725.85
Average expenditure per person	Quintile 3	12 Other goods and services	2011	737.11
Average expenditure per person	Quintile 3	12 Other goods and services	2010	739.09
Average expenditure per person	Quintile 3	12 Other goods and services	2009	746.40
Average expenditure per person	Quintile 3	12 Other goods and services	2008	744.13
Average expenditure per person	Quintile 3	12 Other goods and services	2007	733.95
Average expenditure per person	Quintile 3	12 Other goods and services	2006	688.84
Average expenditure per person	Quintile 4	Overall index	2023	16,086.38
Average expenditure per person	Quintile 4	Overall index	2022	15,401.54
Average expenditure per person	Quintile 4	Overall index	2021	14,279.47
Average expenditure per person	Quintile 4	Overall index	2020	13,138.42
Average expenditure per person	Quintile 4	Overall index	2019	14,602.67
Average expenditure per person	Quintile 4	Overall index	2018	14,289.75
Average expenditure per person	Quintile 4	Overall index	2017	13,905.55
Average expenditure per person	Quintile 4	Overall index	2016	13,414.58
Average expenditure per person	Quintile 4	Overall index	2015	13,234.53
Average expenditure per person	Quintile 4	Overall index	2014	12,923.91
Average expenditure per person	Quintile 4	Overall index	2013	12,901.75
Average expenditure per person	Quintile 4	Overall index	2012	13,059.36
Average expenditure per person	Quintile 4	Overall index	2011	13,398.21
Average expenditure per person	Quintile 4	Overall index	2010	13,236.02
Average expenditure per person	Quintile 4	Overall index	2009	13,482.34
Average expenditure per person	Quintile 4	Overall index	2008	13,726.34
Average expenditure per person	Quintile 4	Overall index	2007	13,525.52
Average expenditure per person	Quintile 4	Overall index	2006	12,840.26
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2023	2,642.05
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2022	2,422.12
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2021	2,371.42
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2020	2,198.47
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2019	2,012.73
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2018	1,970.97
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2017	1,915.69
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2016	1,906.24
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2015	1,933.71
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2014	1,868.53
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2013	1,927.22
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2012	1,881.14
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2011	1,853.17
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2010	1,851.39
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2009	1,854.75
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2008	1,914.00
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2007	1,869.35
Average expenditure per person	Quintile 4	01 Food and non-alcoholic beverages	2006	1,809.42
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2023	241.88
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2022	258.80
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2021	249.91
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2020	260.85
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2019	246.80
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2018	250.19
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2017	245.22
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2016	235.48
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2015	252.32
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2014	243.76
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2013	251.13
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2012	274.37
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2011	261.45
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2010	263.80
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2009	268.17
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2008	263.29
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2007	250.72
Average expenditure per person	Quintile 4	02 Alcoholic beverages and tobacco	2006	235.94
Average expenditure per person	Quintile 4	03 Clothing and footwear	2023	678.96
Average expenditure per person	Quintile 4	03 Clothing and footwear	2022	612.67
Average expenditure per person	Quintile 4	03 Clothing and footwear	2021	606.23
Average expenditure per person	Quintile 4	03 Clothing and footwear	2020	527.79
Average expenditure per person	Quintile 4	03 Clothing and footwear	2019	726.11
Average expenditure per person	Quintile 4	03 Clothing and footwear	2018	744.33
Average expenditure per person	Quintile 4	03 Clothing and footwear	2017	765.54
Average expenditure per person	Quintile 4	03 Clothing and footwear	2016	722.54
Average expenditure per person	Quintile 4	03 Clothing and footwear	2015	732.72
Average expenditure per person	Quintile 4	03 Clothing and footwear	2014	688.89
Average expenditure per person	Quintile 4	03 Clothing and footwear	2013	666.07
Average expenditure per person	Quintile 4	03 Clothing and footwear	2012	676.54
Average expenditure per person	Quintile 4	03 Clothing and footwear	2011	752.91
Average expenditure per person	Quintile 4	03 Clothing and footwear	2010	781.58
Average expenditure per person	Quintile 4	03 Clothing and footwear	2009	806.71
Average expenditure per person	Quintile 4	03 Clothing and footwear	2008	871.01
Average expenditure per person	Quintile 4	03 Clothing and footwear	2007	915.70
Average expenditure per person	Quintile 4	03 Clothing and footwear	2006	873.39
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2023	4,911.63
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2022	4,883.17
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2021	4,698.24
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2020	4,525.92
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2019	4,301.16
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2018	4,179.68
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2017	3,969.81
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2016	3,959.81
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2015	4,110.64
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2014	4,089.59
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2013	4,189.97
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2012	4,123.35
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2011	4,150.40
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2010	3,831.07
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2009	3,899.26
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2008	3,700.51
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2007	3,378.75
Average expenditure per person	Quintile 4	04 Housing, water, electricity, gas and other fuels	2006	3,133.36
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2023	638.38
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2022	648.67
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2021	622.94
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2020	578.55
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2019	626.41
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2018	639.38
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2017	631.14
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2016	615.97
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2015	560.44
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2014	521.95
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2013	529.79
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2012	555.54
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2011	600.53
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2010	641.01
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2009	693.03
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2008	702.67
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2007	753.39
Average expenditure per person	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2006	745.92
Average expenditure per person	Quintile 4	06 Health	2023	659.88
Average expenditure per person	Quintile 4	06 Health	2022	608.93
Average expenditure per person	Quintile 4	06 Health	2021	600.51
Average expenditure per person	Quintile 4	06 Health	2020	542.55
Average expenditure per person	Quintile 4	06 Health	2019	541.84
Average expenditure per person	Quintile 4	06 Health	2018	513.69
Average expenditure per person	Quintile 4	06 Health	2017	507.62
Average expenditure per person	Quintile 4	06 Health	2016	484.07
Average expenditure per person	Quintile 4	06 Health	2015	474.42
Average expenditure per person	Quintile 4	06 Health	2014	463.24
Average expenditure per person	Quintile 4	06 Health	2013	398.75
Average expenditure per person	Quintile 4	06 Health	2012	390.89
Average expenditure per person	Quintile 4	06 Health	2011	422.30
Average expenditure per person	Quintile 4	06 Health	2010	410.78
Average expenditure per person	Quintile 4	06 Health	2009	441.83
Average expenditure per person	Quintile 4	06 Health	2008	435.91
Average expenditure per person	Quintile 4	06 Health	2007	397.61
Average expenditure per person	Quintile 4	06 Health	2006	377.49
Average expenditure per person	Quintile 4	07 Transport	2023	1,823.58
Average expenditure per person	Quintile 4	07 Transport	2022	1,786.81
Average expenditure per person	Quintile 4	07 Transport	2021	1,492.23
Average expenditure per person	Quintile 4	07 Transport	2020	1,272.62
Average expenditure per person	Quintile 4	07 Transport	2019	1,885.29
Average expenditure per person	Quintile 4	07 Transport	2018	1,781.86
Average expenditure per person	Quintile 4	07 Transport	2017	1,737.85
Average expenditure per person	Quintile 4	07 Transport	2016	1,494.64
Average expenditure per person	Quintile 4	07 Transport	2015	1,464.61
Average expenditure per person	Quintile 4	07 Transport	2014	1,498.35
Average expenditure per person	Quintile 4	07 Transport	2013	1,470.98
Average expenditure per person	Quintile 4	07 Transport	2012	1,529.55
Average expenditure per person	Quintile 4	07 Transport	2011	1,570.10
Average expenditure per person	Quintile 4	07 Transport	2010	1,634.55
Average expenditure per person	Quintile 4	07 Transport	2009	1,583.74
Average expenditure per person	Quintile 4	07 Transport	2008	1,827.89
Average expenditure per person	Quintile 4	07 Transport	2007	1,905.35
Average expenditure per person	Quintile 4	07 Transport	2006	1,904.95
Average expenditure per person	Quintile 4	08 Communication	2023	423.48
Average expenditure per person	Quintile 4	08 Communication	2022	421.24
Average expenditure per person	Quintile 4	08 Communication	2021	436.75
Average expenditure per person	Quintile 4	08 Communication	2020	438.15
Average expenditure per person	Quintile 4	08 Communication	2019	442.28
Average expenditure per person	Quintile 4	08 Communication	2018	448.47
Average expenditure per person	Quintile 4	08 Communication	2017	426.18
Average expenditure per person	Quintile 4	08 Communication	2016	404.82
Average expenditure per person	Quintile 4	08 Communication	2015	366.99
Average expenditure per person	Quintile 4	08 Communication	2014	368.04
Average expenditure per person	Quintile 4	08 Communication	2013	387.42
Average expenditure per person	Quintile 4	08 Communication	2012	396.07
Average expenditure per person	Quintile 4	08 Communication	2011	415.19
Average expenditure per person	Quintile 4	08 Communication	2010	414.68
Average expenditure per person	Quintile 4	08 Communication	2009	432.69
Average expenditure per person	Quintile 4	08 Communication	2008	417.53
Average expenditure per person	Quintile 4	08 Communication	2007	405.45
Average expenditure per person	Quintile 4	08 Communication	2006	373.29
Average expenditure per person	Quintile 4	09 Recreation and culture	2023	809.85
Average expenditure per person	Quintile 4	09 Recreation and culture	2022	774.25
Average expenditure per person	Quintile 4	09 Recreation and culture	2021	666.15
Average expenditure per person	Quintile 4	09 Recreation and culture	2020	587.61
Average expenditure per person	Quintile 4	09 Recreation and culture	2019	895.07
Average expenditure per person	Quintile 4	09 Recreation and culture	2018	866.12
Average expenditure per person	Quintile 4	09 Recreation and culture	2017	861.94
Average expenditure per person	Quintile 4	09 Recreation and culture	2016	836.49
Average expenditure per person	Quintile 4	09 Recreation and culture	2015	811.57
Average expenditure per person	Quintile 4	09 Recreation and culture	2014	785.86
Average expenditure per person	Quintile 4	09 Recreation and culture	2013	759.97
Average expenditure per person	Quintile 4	09 Recreation and culture	2012	802.43
Average expenditure per person	Quintile 4	09 Recreation and culture	2011	906.03
Average expenditure per person	Quintile 4	09 Recreation and culture	2010	950.44
Average expenditure per person	Quintile 4	09 Recreation and culture	2009	969.48
Average expenditure per person	Quintile 4	09 Recreation and culture	2008	1,006.42
Average expenditure per person	Quintile 4	09 Recreation and culture	2007	1,026.36
Average expenditure per person	Quintile 4	09 Recreation and culture	2006	960.19
Average expenditure per person	Quintile 4	10 Education	2023	246.04
Average expenditure per person	Quintile 4	10 Education	2022	250.72
Average expenditure per person	Quintile 4	10 Education	2021	235.79
Average expenditure per person	Quintile 4	10 Education	2020	239.10
Average expenditure per person	Quintile 4	10 Education	2019	267.09
Average expenditure per person	Quintile 4	10 Education	2018	262.32
Average expenditure per person	Quintile 4	10 Education	2017	221.72
Average expenditure per person	Quintile 4	10 Education	2016	208.76
Average expenditure per person	Quintile 4	10 Education	2015	220.63
Average expenditure per person	Quintile 4	10 Education	2014	212.56
Average expenditure per person	Quintile 4	10 Education	2013	192.73
Average expenditure per person	Quintile 4	10 Education	2012	199.93
Average expenditure per person	Quintile 4	10 Education	2011	175.56
Average expenditure per person	Quintile 4	10 Education	2010	168.85
Average expenditure per person	Quintile 4	10 Education	2009	149.58
Average expenditure per person	Quintile 4	10 Education	2008	165.14
Average expenditure per person	Quintile 4	10 Education	2007	147.64
Average expenditure per person	Quintile 4	10 Education	2006	146.31
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2023	1,778.77
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2022	1,546.47
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2021	1,209.64
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2020	953.90
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2019	1,556.23
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2018	1,539.70
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2017	1,531.38
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2016	1,476.32
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2015	1,347.05
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2014	1,231.51
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2013	1,187.16
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2012	1,259.64
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2011	1,334.50
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2010	1,323.15
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2009	1,376.30
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2008	1,403.73
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2007	1,499.46
Average expenditure per person	Quintile 4	11 Restaurants and hotels	2006	1,340.24
Average expenditure per person	Quintile 4	12 Other goods and services	2023	1,231.88
Average expenditure per person	Quintile 4	12 Other goods and services	2022	1,187.69
Average expenditure per person	Quintile 4	12 Other goods and services	2021	1,089.67
Average expenditure per person	Quintile 4	12 Other goods and services	2020	1,012.91
Average expenditure per person	Quintile 4	12 Other goods and services	2019	1,101.65
Average expenditure per person	Quintile 4	12 Other goods and services	2018	1,093.05
Average expenditure per person	Quintile 4	12 Other goods and services	2017	1,091.46
Average expenditure per person	Quintile 4	12 Other goods and services	2016	1,069.44
Average expenditure per person	Quintile 4	12 Other goods and services	2015	959.43
Average expenditure per person	Quintile 4	12 Other goods and services	2014	951.63
Average expenditure per person	Quintile 4	12 Other goods and services	2013	940.55
Average expenditure per person	Quintile 4	12 Other goods and services	2012	969.92
Average expenditure per person	Quintile 4	12 Other goods and services	2011	956.07
Average expenditure per person	Quintile 4	12 Other goods and services	2010	964.72
Average expenditure per person	Quintile 4	12 Other goods and services	2009	1,006.80
Average expenditure per person	Quintile 4	12 Other goods and services	2008	1,018.26
Average expenditure per person	Quintile 4	12 Other goods and services	2007	975.74
Average expenditure per person	Quintile 4	12 Other goods and services	2006	939.74
Average expenditure per person	Quintile 5	Overall index	2023	26,053.91
Average expenditure per person	Quintile 5	Overall index	2022	24,587.55
Average expenditure per person	Quintile 5	Overall index	2021	23,004.96
Average expenditure per person	Quintile 5	Overall index	2020	21,526.73
Average expenditure per person	Quintile 5	Overall index	2019	23,992.68
Average expenditure per person	Quintile 5	Overall index	2018	23,559.29
Average expenditure per person	Quintile 5	Overall index	2017	22,718.99
Average expenditure per person	Quintile 5	Overall index	2016	21,779.32
Average expenditure per person	Quintile 5	Overall index	2015	21,383.04
Average expenditure per person	Quintile 5	Overall index	2014	21,333.56
Average expenditure per person	Quintile 5	Overall index	2013	20,976.29
Average expenditure per person	Quintile 5	Overall index	2012	21,452.86
Average expenditure per person	Quintile 5	Overall index	2011	21,800.77
Average expenditure per person	Quintile 5	Overall index	2010	21,825.79
Average expenditure per person	Quintile 5	Overall index	2009	22,079.07
Average expenditure per person	Quintile 5	Overall index	2008	22,873.57
Average expenditure per person	Quintile 5	Overall index	2007	22,686.50
Average expenditure per person	Quintile 5	Overall index	2006	21,795.99
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2023	3,241.87
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2022	3,054.33
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2021	2,870.24
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2020	2,694.49
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2019	2,508.59
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2018	2,411.01
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2017	2,332.00
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2016	2,351.32
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2015	2,370.19
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2014	2,327.03
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2013	2,314.05
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2012	2,267.91
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2011	2,170.44
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2010	2,166.97
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2009	2,219.38
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2008	2,301.44
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2007	2,178.89
Average expenditure per person	Quintile 5	01 Food and non-alcoholic beverages	2006	2,102.01
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2023	332.83
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2022	340.65
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2021	331.74
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2020	348.52
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2019	310.85
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2018	310.37
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2017	316.49
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2016	317.69
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2015	301.76
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2014	296.30
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2013	306.08
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2012	312.29
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2011	329.30
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2010	318.00
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2009	307.44
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2008	308.74
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2007	304.74
Average expenditure per person	Quintile 5	02 Alcoholic beverages and tobacco	2006	277.03
Average expenditure per person	Quintile 5	03 Clothing and footwear	2023	1,071.91
Average expenditure per person	Quintile 5	03 Clothing and footwear	2022	986.82
Average expenditure per person	Quintile 5	03 Clothing and footwear	2021	940.36
Average expenditure per person	Quintile 5	03 Clothing and footwear	2020	903.28
Average expenditure per person	Quintile 5	03 Clothing and footwear	2019	1,202.15
Average expenditure per person	Quintile 5	03 Clothing and footwear	2018	1,216.01
Average expenditure per person	Quintile 5	03 Clothing and footwear	2017	1,272.24
Average expenditure per person	Quintile 5	03 Clothing and footwear	2016	1,231.81
Average expenditure per person	Quintile 5	03 Clothing and footwear	2015	1,180.44
Average expenditure per person	Quintile 5	03 Clothing and footwear	2014	1,240.60
Average expenditure per person	Quintile 5	03 Clothing and footwear	2013	1,207.82
Average expenditure per person	Quintile 5	03 Clothing and footwear	2012	1,211.03
Average expenditure per person	Quintile 5	03 Clothing and footwear	2011	1,275.40
Average expenditure per person	Quintile 5	03 Clothing and footwear	2010	1,377.77
Average expenditure per person	Quintile 5	03 Clothing and footwear	2009	1,416.26
Average expenditure per person	Quintile 5	03 Clothing and footwear	2008	1,560.56
Average expenditure per person	Quintile 5	03 Clothing and footwear	2007	1,647.02
Average expenditure per person	Quintile 5	03 Clothing and footwear	2006	1,632.63
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2023	7,030.71
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2022	6,629.52
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2021	6,707.41
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2020	6,818.89
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2019	6,584.17
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2018	6,316.12
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2017	5,857.75
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2016	5,789.85
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2015	5,751.70
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2014	5,830.42
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2013	6,022.51
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2012	6,037.07
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2011	5,872.73
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2010	5,586.03
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2009	5,545.35
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2008	5,113.46
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2007	4,624.90
Average expenditure per person	Quintile 5	04 Housing, water, electricity, gas and other fuels	2006	4,262.69
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2023	1,293.15
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2022	1,182.48
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2021	1,241.56
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2020	1,114.22
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2019	1,290.15
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2018	1,337.37
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2017	1,267.33
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2016	1,232.92
Average expenditure per person	Quintile 5	05 Furnishings, household equipment and routine household maintenance	2015	1,108.91
