Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2010QIII	-20.2819
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2010QII	42.4084
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2010QI	-51.7270
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2009QIV	44.4918
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2009QIII	-9.2265
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2009QII	50.5824
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2009QI	-44.2486
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2008QIV	60.7755
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2008QIII	-30.1199
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2008QII	45.4890
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2008QI	-46.3385
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2007QIV	100.0000
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2007QIII	-24.9236
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2007QII	18.4515
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2007QI	-18.0794
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2006QIV	6.7722
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2006QIII	-12.7072
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2006QII	46.7964
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2006QI	-70.3178
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2005QIV	178.6050
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2005QIII	-24.5827
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2005QII	52.0769
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2005QI	-71.5785
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2004QIV	263.0159
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2004QIII	-23.5437
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2004QII	26.7692
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2004QI	-65.4714
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2003QIV	197.6285
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2003QIII	-34.9614
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2003QII	49.2709
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2003QI	-69.2906
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2002QIV	294.3309
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2002QIII	-31.0698
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2002QII	13.0340
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2002QI	-61.8297
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2001QIV	171.8257
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2001QIII	-10.6711
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2001QII	9.9631
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2001QI	-63.2592
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2000QIV	182.1729
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2000QIII	14.9516
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2000QII	-21.3693
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	2000QI	-47.9856
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1999QIV	92.2545
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1999QIII	-4.1750
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1999QII	-3.5166
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1999QI	-53.8371
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1998QIV	207.4410
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1998QIII	-29.8089
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1998QII	21.6112
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1998QI	-60.6162
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1997QIV	206.6417
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1997QIII	-17.8955
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1997QII	15.1194
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1997QI	-63.5631
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1996QIV	185.2941
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1996QIII	-37.6504
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1996QII	45.5379
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1996QI	-66.4803
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1995QIV	244.6050
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1995QIII	-35.4478
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1995QII	37.4359
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Quarterly variation rate	1995QI	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2025QIV	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2025QIII	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2025QII	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2025QI	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2024QIV	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2024QIII	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2024QII	21.2903
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2024QI	-19.0020
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2023QIV	-52.5087
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2023QIII	-61.8071
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2023QII	-33.3046
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2023QI	35.5735
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2022QIV	206.1597
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2022QIII	124.7832
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2022QII	32.4971
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2022QI	10.4950
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2021QIV	-9.0280
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2021QIII	16.6667
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2021QII	5.5778
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2021QI	11.1111
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2020QIV	39.8645
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2020QIII	-1.0016
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2020QII	17.8251
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2020QI	29.6719
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2019QIV	-8.5803
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2019QIII	27.4009
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2019QII	8.9645
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2019QI	-20.9696
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2018QIV	-7.5256
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2018QIII	-14.2775
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2018QII	-11.6924
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2018QI	11.7832
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2017QIV	5.7526
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2017QIII	1.4603
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2017QII	26.1768
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2017QI	-10.4907
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2016QIV	-33.8484
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2016QIII	-2.9478
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2016QII	6.0256
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2016QI	4.5401
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2015QIV	0.1720
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2015QIII	27.6411
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2015QII	-17.3541
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2015QI	74.8454
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2014QIV	-13.9369
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2014QIII	5.9004
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2014QII	112.8480
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2014QI	2.2129
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2013QIV	45.4611
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2013QIII	56.4748
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2013QII	-0.2137
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2013QI	-3.3605
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2012QIV	29.0278
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2012QIII	-28.4120
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2012QII	-31.4286
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2012QI	-12.1646
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2011QIV	0.8403
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2011QIII	-10.4535
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2011QII	-16.3603
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2011QI	-2.4433
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2010QIV	-9.7725
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2010QIII	-20.8156
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2010QII	-9.8343
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2010QI	-4.6589
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2009QIV	10.1113
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2009QIII	22.5205
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2009QII	-5.6800
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2009QI	-8.8704
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2008QIV	-12.2864
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2008QIII	9.1131
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2008QII	17.2266
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2008QI	-4.5586
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2007QIV	45.7024
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2007QIII	-22.2152
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2007QII	-9.5580
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2007QI	12.0843
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2006QIV	-59.3885
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2006QIII	5.9691
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2006QII	-8.4471
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2006QI	-5.1538
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2005QIV	-9.1823
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2005QIII	18.3333
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2005QII	19.9636
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2005QI	0.0000
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2004QIV	21.4874
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2004QIII	-0.3953
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2004QII	-15.2699
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2004QI	-0.2302
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2003QIV	-11.2656
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2003QIII	17.5651
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2003QII	24.5996
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2003QI	-5.6481
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2002QIV	17.2747
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2002QIII	-19.1585
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2002QII	4.7651
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2002QI	1.9188
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2001QIV	-1.8980
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2001QIII	1.8363
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2001QII	31.0466
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2001QI	-6.2932
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2000QIV	32.6619
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2000QIII	-9.6127
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2000QII	-24.6521
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	2000QI	-7.5448
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1999QIV	-17.9457
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1999QIII	31.2160
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1999QII	-3.8854
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1999QI	21.1464
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1998QIV	3.3557
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1998QIII	3.0870
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1998QII	20.5837
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1998QI	14.1468
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1997QIV	5.6057
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1997QIII	-1.7463
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1997QII	-25.3868
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1997QI	-5.6714
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1996QIV	-13.2234
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1996QIII	4.8170
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1996QII	8.5199
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1996QI	2.4786
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1995QIV	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1995QIII	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1995QII	""
Seasonally and calendar unadjusted data	Taxes less subsidies on products                      	Subsidies on products	Annual variation	1995QI	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2025QIV	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2025QIII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2025QII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2025QI	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2024QIV	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2024QIII	""
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2024QII	384,101
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2024QI	380,810
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2023QIV	375,415
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2023QIII	364,954
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2023QII	361,727
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2023QI	359,793
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2022QIV	350,088
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2022QIII	337,389
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2022QII	333,308
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2022QI	325,592
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2021QIV	322,659
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2021QIII	308,358
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2021QII	297,904
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2021QI	293,369
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2020QIV	289,633
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2020QIII	285,947
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2020QII	245,108
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2020QI	298,322
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2019QIV	314,919
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2019QIII	311,392
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2019QII	310,078
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2019QI	309,124
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2018QIV	305,818
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2018QIII	302,068
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2018QII	299,596
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2018QI	296,377
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2017QIV	295,544
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2017QIII	291,342
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2017QII	289,674
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2017QI	285,932
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2016QIV	282,056
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2016QIII	280,309
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2016QII	276,972
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2016QI	275,083
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2015QIV	273,054
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2015QIII	270,752
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2015QII	268,339
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2015QI	265,947
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2014QIV	260,693
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2014QIII	258,397
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2014QII	257,113
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2014QI	256,405
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2013QIV	254,581
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2013QIII	254,906
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2013QII	255,243
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2013QI	255,947
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2012QIV	253,293
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2012QIII	257,494
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2012QII	258,841
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2012QI	261,476
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2011QIV	262,441
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2011QIII	265,547
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2011QII	267,784
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2011QI	267,991
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2010QIV	269,364
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2010QIII	267,959
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2010QII	267,355
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2010QI	268,031
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2009QIV	266,248
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2009QIII	266,711
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2009QII	267,165
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2009QI	269,199
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2008QIV	275,445
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2008QIII	277,456
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2008QII	278,983
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2008QI	277,657
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2007QIV	275,079
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2007QIII	269,354
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2007QII	267,333
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2007QI	263,773
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2006QIV	257,766
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2006QIII	253,409
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2006QII	249,021
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2006QI	243,627
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2005QIV	239,206
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2005QIII	233,904
Seasonally and calendar adjusted data 	Gross domestic product at market prices		Base data	2005QII	229,433
