edition_and_source_page,index_base,year_or_period,indicator,value
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,  Livestock production,154
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,"Freight turnover, all transport",100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,"Freight turnover, all transport",147
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,"Freight turnover, all transport",203
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,"Freight turnover, all transport",217
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,"Freight turnover, all transport",227
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,"Freight turnover, all transport",245
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,"Freight turnover, all transport",262
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,"Freight turnover, all transport",276
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1960,"Freight turnover, rail",100
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1965,"Freight turnover, rail",130
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1970,"Freight turnover, rail",166
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1971,"Freight turnover, rail",175
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1972,"Freight turnover, rail",184
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1973,"Freight turnover, rail",197
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1974,"Freight turnover, rail",206
narodnoe-khoziaistvo-sssr_1975.pdf p.49,1960=100,1975,"Freight turnover, rail",215
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Gross national product (YoY, % of prior yr)",102.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Gross national product (YoY, % of prior yr)",103.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Gross national product (YoY, % of prior yr)",102.9
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Gross national product (YoY, % of prior yr)",105.5
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Gross national product (YoY, % of prior yr)",103.0
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Gross social product (YoY, % of prior yr)",102.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Gross social product (YoY, % of prior yr)",103.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Gross social product (YoY, % of prior yr)",102.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Gross social product (YoY, % of prior yr)",103.5
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Gross social product (YoY, % of prior yr)",101.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"National income produced (YoY, % of prior yr)",101.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"National income produced (YoY, % of prior yr)",102.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"National income produced (YoY, % of prior yr)",101.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"National income produced (YoY, % of prior yr)",104.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"National income produced (YoY, % of prior yr)",102.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Gross industrial output (YoY, % of prior yr)",103.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Gross industrial output (YoY, % of prior yr)",104.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Gross industrial output (YoY, % of prior yr)",103.8
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Gross industrial output (YoY, % of prior yr)",103.9
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Gross industrial output (YoY, % of prior yr)",101.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"  Means of production, group A (YoY)",103.5
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"  Means of production, group A (YoY)",105.0
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"  Means of production, group A (YoY)",103.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"  Means of production, group A (YoY)",103.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"  Means of production, group A (YoY)",100.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"  Consumer goods, group B (YoY)",103.0
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"  Consumer goods, group B (YoY)",102.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"  Consumer goods, group B (YoY)",104.1
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"  Consumer goods, group B (YoY)",105.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"  Consumer goods, group B (YoY)",104.9
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Gross agricultural output (YoY, % of prior yr)",100.2
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Gross agricultural output (YoY, % of prior yr)",105.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Gross agricultural output (YoY, % of prior yr)",99.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Gross agricultural output (YoY, % of prior yr)",101.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Gross agricultural output (YoY, % of prior yr)",101.3
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Capital investment (YoY, % of prior yr)",103.0
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Capital investment (YoY, % of prior yr)",108.4
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Capital investment (YoY, % of prior yr)",105.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Capital investment (YoY, % of prior yr)",106.2
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Capital investment (YoY, % of prior yr)",104.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Workers/employees (YoY, % of prior yr)",100.8
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Workers/employees (YoY, % of prior yr)",100.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Workers/employees (YoY, % of prior yr)",100.1
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Workers/employees (YoY, % of prior yr)",98.9
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Workers/employees (YoY, % of prior yr)",98.5
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1985,"Money incomes of population (YoY, % of prior yr)",103.7
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1986,"Money incomes of population (YoY, % of prior yr)",103.6
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1987,"Money incomes of population (YoY, % of prior yr)",103.9
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1988,"Money incomes of population (YoY, % of prior yr)",109.2
narodnoe-khoziaistvo-sssr_1989.pdf p.8,"prior year=100 (annual % change reported, minus 100 = growth rate)",1989,"Money incomes of population (YoY, % of prior yr)",113.1
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Gross national product,4.8
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Gross national product,3.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Gross national product,3.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Gross social product,4.2
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Gross social product,3.3
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Gross social product,2.8
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,National income produced,4.3
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,National income produced,3.2
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,National income produced,2.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Gross industrial output,4.4
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Gross industrial output,3.6
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Gross industrial output,3.4
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,"  Means of production, group A",4.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,"  Means of production, group A",3.6
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,"  Means of production, group A",3.2
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,"  Consumer goods, group B",3.8
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,"  Consumer goods, group B",3.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,"  Consumer goods, group B",4.3
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Gross agricultural output,1.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Gross agricultural output,1.0
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Gross agricultural output,2.4
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Capital investment,3.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Capital investment,3.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Capital investment,6.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Social labor productivity,3.3
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Social labor productivity,2.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Social labor productivity,2.7
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1976-1980,Workers/employees,1.9
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1981-1985,Workers/employees,0.9
narodnoe-khoziaistvo-sssr_1989.pdf p.9,avg annual %% growth over period,1986-1989,Workers/employees,-0.5
