census_date,source_code,country_iso3,residence,sex,age_band,population
1 XI 1976,Cdf,IRN,Rural,Female,65-69,85074
1 XI 1976,Cdf,IRN,Rural,Female,70-74,101128
1 XI 1976,Cdf,IRN,Rural,Female,75-79,48436
1 XI 1976,Cdf,IRN,Rural,Female,80-84,36641
1 XI 1976,Cdf,IRN,Rural,Female,85+,26253
1 XI 1976,Cdf,IRN,Rural,Female,Unknown,-
22 IX 1986,Cdf,IRN,Rural,Female,All ages,10964868
22 IX 1986,Cdf,IRN,Rural,Female,-1,406829
22 IX 1986,Cdf,IRN,Rural,Female,1-4,1681909
22 IX 1986,Cdf,IRN,Rural,Female,5-9,1789026
22 IX 1986,Cdf,IRN,Rural,Female,10-14,1419303
22 IX 1986,Cdf,IRN,Rural,Female,15-19,1165950
22 IX 1986,Cdf,IRN,Rural,Female,20-24,839927
22 IX 1986,Cdf,IRN,Rural,Female,25-29,706264
22 IX 1986,Cdf,IRN,Rural,Female,30-34,579791
22 IX 1986,Cdf,IRN,Rural,Female,35-39,450718
22 IX 1986,Cdf,IRN,Rural,Female,40-44,357891
22 IX 1986,Cdf,IRN,Rural,Female,45-49,351215
22 IX 1986,Cdf,IRN,Rural,Female,50-54,348328
22 IX 1986,Cdf,IRN,Rural,Female,55-59,286434
22 IX 1986,Cdf,IRN,Rural,Female,60-64,255638
22 IX 1986,Cdf,IRN,Rural,Female,65-69,118540
22 IX 1986,Cdf,IRN,Rural,Female,70-74,72097
22 IX 1986,Cdf,IRN,Rural,Female,75-79,44188
22 IX 1986,Cdf,IRN,Rural,Female,80-84,42307
22 IX 1986,Cdf,IRN,Rural,Female,85+,43676
22 IX 1986,Cdf,IRN,Rural,Female,Unknown,4837
11 IX 1991,Cdf,IRN,Rural,Female,All ages,11667359
11 IX 1991,Cdf,IRN,Rural,Female,-1,334534
11 IX 1991,Cdf,IRN,Rural,Female,1-4,1536180
11 IX 1991,Cdf,IRN,Rural,Female,5-9,1956709
11 IX 1991,Cdf,IRN,Rural,Female,10-14,1656128
11 IX 1991,Cdf,IRN,Rural,Female,15-19,1320770
11 IX 1991,Cdf,IRN,Rural,Female,20-24,975629
11 IX 1991,Cdf,IRN,Rural,Female,25-29,721135
11 IX 1991,Cdf,IRN,Rural,Female,30-34,625531
11 IX 1991,Cdf,IRN,Rural,Female,35-39,527125
11 IX 1991,Cdf,IRN,Rural,Female,40-44,409056
11 IX 1991,Cdf,IRN,Rural,Female,45-49,324853
11 IX 1991,Cdf,IRN,Rural,Female,50-54,334309
11 IX 1991,Cdf,IRN,Rural,Female,55-59,295749
11 IX 1991,Cdf,IRN,Rural,Female,60-64,275149
11 IX 1991,Cdf,IRN,Rural,Female,65-69,171692
11 IX 1991,Cdf,IRN,Rural,Female,70-74,88549
11 IX 1991,Cdf,IRN,Rural,Female,75-79,34599
11 IX 1991,Cdf,IRN,Rural,Female,80-84,28669
11 IX 1991,Cdf,IRN,Rural,Female,85-89,16388
11 IX 1991,Cdf,IRN,Rural,Female,90-94,11415
11 IX 1991,Cdf,IRN,Rural,Female,95-99,4216
11 IX 1991,Cdf,IRN,Rural,Female,100+,10255
11 IX 1991,Cdf,IRN,Rural,Female,Unknown,8719
22 IX 1986,Cdf,IRN,Rural,Total,All ages,251098
22 IX 1986,Cdf,IRN,Rural,Total,-1,8856
22 IX 1986,Cdf,IRN,Rural,Total,1-4,40510
22 IX 1986,Cdf,IRN,Rural,Total,5-9,46023
22 IX 1986,Cdf,IRN,Rural,Total,10-14,32518
22 IX 1986,Cdf,IRN,Rural,Total,15-19,23700
22 IX 1986,Cdf,IRN,Rural,Total,20-24,15373
22 IX 1986,Cdf,IRN,Rural,Total,25-29,14290
22 IX 1986,Cdf,IRN,Rural,Total,30-34,12813
22 IX 1986,Cdf,IRN,Rural,Total,35-39,10363
22 IX 1986,Cdf,IRN,Rural,Total,40-44,8648
22 IX 1986,Cdf,IRN,Rural,Total,45-49,7802
22 IX 1986,Cdf,IRN,Rural,Total,50-54,9031
22 IX 1986,Cdf,IRN,Rural,Total,55-59,6593
22 IX 1986,Cdf,IRN,Rural,Total,60-64,6899
22 IX 1986,Cdf,IRN,Rural,Total,65-69,2639
22 IX 1986,Cdf,IRN,Rural,Total,70-74,2074
22 IX 1986,Cdf,IRN,Rural,Total,75-79,868
22 IX 1986,Cdf,IRN,Rural,Total,80-84,814
22 IX 1986,Cdf,IRN,Rural,Total,85+,941
22 IX 1986,Cdf,IRN,Rural,Total,Unknown,343
22 IX 1986,Cdf,IRN,Rural,Male,All ages,126861
22 IX 1986,Cdf,IRN,Rural,Male,-1,4523
22 IX 1986,Cdf,IRN,Rural,Male,1-4,20207
22 IX 1986,Cdf,IRN,Rural,Male,5-9,23012
22 IX 1986,Cdf,IRN,Rural,Male,10-14,16525
22 IX 1986,Cdf,IRN,Rural,Male,15-19,11648
22 IX 1986,Cdf,IRN,Rural,Male,20-24,7005
22 IX 1986,Cdf,IRN,Rural,Male,25-29,6560
22 IX 1986,Cdf,IRN,Rural,Male,30-34,6053
22 IX 1986,Cdf,IRN,Rural,Male,35-39,5057
22 IX 1986,Cdf,IRN,Rural,Male,40-44,4353
22 IX 1986,Cdf,IRN,Rural,Male,45-49,4177
22 IX 1986,Cdf,IRN,Rural,Male,50-54,5132
22 IX 1986,Cdf,IRN,Rural,Male,55-59,4018
22 IX 1986,Cdf,IRN,Rural,Male,60-64,4155
22 IX 1986,Cdf,IRN,Rural,Male,65-69,1533
22 IX 1986,Cdf,IRN,Rural,Male,70-74,1223
22 IX 1986,Cdf,IRN,Rural,Male,75-79,493
22 IX 1986,Cdf,IRN,Rural,Male,80-84,444
22 IX 1986,Cdf,IRN,Rural,Male,85+,579
22 IX 1986,Cdf,IRN,Rural,Male,Unknown,164
22 IX 1986,Cdf,IRN,Rural,Female,All ages,124237
22 IX 1986,Cdf,IRN,Rural,Female,-1,4333
22 IX 1986,Cdf,IRN,Rural,Female,1-4,20303
22 IX 1986,Cdf,IRN,Rural,Female,5-9,23011
22 IX 1986,Cdf,IRN,Rural,Female,10-14,15993
22 IX 1986,Cdf,IRN,Rural,Female,15-19,12052
22 IX 1986,Cdf,IRN,Rural,Female,20-24,8368
22 IX 1986,Cdf,IRN,Rural,Female,25-29,7730
22 IX 1986,Cdf,IRN,Rural,Female,30-34,6760
22 IX 1986,Cdf,IRN,Rural,Female,35-39,5306
22 IX 1986,Cdf,IRN,Rural,Female,40-44,4295
22 IX 1986,Cdf,IRN,Rural,Female,45-49,3625
22 IX 1986,Cdf,IRN,Rural,Female,50-54,3899
22 IX 1986,Cdf,IRN,Rural,Female,55-59,2575
22 IX 1986,Cdf,IRN,Rural,Female,60-64,2744
22 IX 1986,Cdf,IRN,Rural,Female,65-69,1106
22 IX 1986,Cdf,IRN,Rural,Female,70-74,851
22 IX 1986,Cdf,IRN,Rural,Female,75-79,375
22 IX 1986,Cdf,IRN,Rural,Female,80-84,370
22 IX 1986,Cdf,IRN,Rural,Female,85+,362
22 IX 1986,Cdf,IRN,Rural,Female,Unknown,179
