Type of data	Overall and by COICOP group	Period	Total
Annual change	Overall index	1964M06	6.1
Annual change	Overall index	1964M05	2.8
Annual change	Overall index	1964M04	3.1
Annual change	Overall index	1964M03	2.6
Annual change	Overall index	1964M02	4.3
Annual change	Overall index	1964M01	5.1
Annual change	Overall index	1963M12	5.5
Annual change	Overall index	1963M11	6.4
Annual change	Overall index	1963M10	7.8
Annual change	Overall index	1963M09	8.5
Annual change	Overall index	1963M08	9.5
Annual change	Overall index	1963M07	8.1
Annual change	Overall index	1963M06	6.9
Annual change	Overall index	1963M05	9.5
Annual change	Overall index	1963M04	10.3
Annual change	Overall index	1963M03	11.9
Annual change	Overall index	1963M02	10.7
Annual change	Overall index	1963M01	10.4
Annual change	Overall index	1962M12	9.9
Annual change	Overall index	1962M11	8.7
Annual change	Overall index	1962M10	7.6
Annual change	Overall index	1962M09	7.0
Annual change	Overall index	1962M08	6.5
Annual change	Overall index	1962M07	6.9
Annual change	Overall index	1962M06	6.9
Annual change	Overall index	1962M05	5.8
Annual change	Overall index	1962M04	4.2
Annual change	Overall index	1962M03	3.0
Annual change	Overall index	1962M02	1.6
Annual change	Overall index	1962M01	0.4
Annual change	Overall index	1961M12	""
Annual change	Overall index	1961M11	""
Annual change	Overall index	1961M10	""
Annual change	Overall index	1961M09	""
Annual change	Overall index	1961M08	""
Annual change	Overall index	1961M07	""
Annual change	Overall index	1961M06	""
Annual change	Overall index	1961M05	""
Annual change	Overall index	1961M04	""
Annual change	Overall index	1961M03	""
Annual change	Overall index	1961M02	""
Annual change	Overall index	1961M01	""
Year-to-date change	Overall index	2021M12	6.5
Year-to-date change	Overall index	2021M11	5.3
Year-to-date change	Overall index	2021M10	5.0
Year-to-date change	Overall index	2021M09	3.1
Year-to-date change	Overall index	2021M08	2.2
Year-to-date change	Overall index	2021M07	1.8
Year-to-date change	Overall index	2021M06	2.5
Year-to-date change	Overall index	2021M05	2.0
Year-to-date change	Overall index	2021M04	1.6
Year-to-date change	Overall index	2021M03	0.4
Year-to-date change	Overall index	2021M02	-0.6
Year-to-date change	Overall index	2021M01	0.0
Year-to-date change	Overall index	2020M12	-0.5
Year-to-date change	Overall index	2020M11	-0.7
Year-to-date change	Overall index	2020M10	-0.9
Year-to-date change	Overall index	2020M09	-1.4
Year-to-date change	Overall index	2020M08	-1.6
Year-to-date change	Overall index	2020M07	-1.6
Year-to-date change	Overall index	2020M06	-0.7
Year-to-date change	Overall index	2020M05	-1.2
Year-to-date change	Overall index	2020M04	-1.2
Year-to-date change	Overall index	2020M03	-1.5
Year-to-date change	Overall index	2020M02	-1.1
Year-to-date change	Overall index	2020M01	-1.0
Year-to-date change	Overall index	2019M12	0.8
Year-to-date change	Overall index	2019M11	0.9
Year-to-date change	Overall index	2019M10	0.7
Year-to-date change	Overall index	2019M09	-0.3
Year-to-date change	Overall index	2019M08	-0.3
Year-to-date change	Overall index	2019M07	-0.2
Year-to-date change	Overall index	2019M06	0.4
Year-to-date change	Overall index	2019M05	0.5
Year-to-date change	Overall index	2019M04	0.3
Year-to-date change	Overall index	2019M03	-0.7
Year-to-date change	Overall index	2019M02	-1.0
Year-to-date change	Overall index	2019M01	-1.3
Year-to-date change	Overall index	2018M12	1.2
Year-to-date change	Overall index	2018M11	1.6
Year-to-date change	Overall index	2018M10	1.8
Year-to-date change	Overall index	2018M09	0.8
Year-to-date change	Overall index	2018M08	0.6
Year-to-date change	Overall index	2018M07	0.4
Year-to-date change	Overall index	2018M06	1.2
Year-to-date change	Overall index	2018M05	0.9
Year-to-date change	Overall index	2018M04	0.0
Year-to-date change	Overall index	2018M03	-0.8
Year-to-date change	Overall index	2018M02	-0.9
Year-to-date change	Overall index	2018M01	-1.1
Year-to-date change	Overall index	2017M12	1.1
Year-to-date change	Overall index	2017M11	1.1
Year-to-date change	Overall index	2017M10	0.6
Year-to-date change	Overall index	2017M09	-0.3
Year-to-date change	Overall index	2017M08	-0.5
Year-to-date change	Overall index	2017M07	-0.7
Year-to-date change	Overall index	2017M06	0.0
Year-to-date change	Overall index	2017M05	0.0
Year-to-date change	Overall index	2017M04	0.0
Year-to-date change	Overall index	2017M03	-0.9
Year-to-date change	Overall index	2017M02	-0.9
Year-to-date change	Overall index	2017M01	-0.5
Year-to-date change	Overall index	2016M12	1.6
Year-to-date change	Overall index	2016M11	1.0
Year-to-date change	Overall index	2016M10	0.6
Year-to-date change	Overall index	2016M09	-0.5
Year-to-date change	Overall index	2016M08	-0.5
Year-to-date change	Overall index	2016M07	-0.7
Year-to-date change	Overall index	2016M06	0.1
Year-to-date change	Overall index	2016M05	-0.4
Year-to-date change	Overall index	2016M04	-0.9
Year-to-date change	Overall index	2016M03	-1.6
Year-to-date change	Overall index	2016M02	-2.3
Year-to-date change	Overall index	2016M01	-1.9
Year-to-date change	Overall index	2015M12	0.0
Year-to-date change	Overall index	2015M11	0.3
Year-to-date change	Overall index	2015M10	-0.1
Year-to-date change	Overall index	2015M09	-0.7
Year-to-date change	Overall index	2015M08	-0.4
Year-to-date change	Overall index	2015M07	-0.1
Year-to-date change	Overall index	2015M06	0.9
Year-to-date change	Overall index	2015M05	0.6
Year-to-date change	Overall index	2015M04	0.1
Year-to-date change	Overall index	2015M03	-0.8
Year-to-date change	Overall index	2015M02	-1.4
Year-to-date change	Overall index	2015M01	-1.6
Year-to-date change	Overall index	2014M12	-1.0
Year-to-date change	Overall index	2014M11	-0.5
Year-to-date change	Overall index	2014M10	-0.4
Year-to-date change	Overall index	2014M09	-0.9
Year-to-date change	Overall index	2014M08	-1.0
Year-to-date change	Overall index	2014M07	-1.2
Year-to-date change	Overall index	2014M06	-0.2
Year-to-date change	Overall index	2014M05	-0.3
Year-to-date change	Overall index	2014M04	-0.3
Year-to-date change	Overall index	2014M03	-1.2
Year-to-date change	Overall index	2014M02	-1.4
Year-to-date change	Overall index	2014M01	-1.3
Year-to-date change	Overall index	2013M12	0.3
Year-to-date change	Overall index	2013M11	0.2
Year-to-date change	Overall index	2013M10	0.0
Year-to-date change	Overall index	2013M09	-0.4
Year-to-date change	Overall index	2013M08	-0.3
Year-to-date change	Overall index	2013M07	-0.6
Year-to-date change	Overall index	2013M06	-0.1
Year-to-date change	Overall index	2013M05	-0.2
Year-to-date change	Overall index	2013M04	-0.4
Year-to-date change	Overall index	2013M03	-0.8
Year-to-date change	Overall index	2013M02	-1.1
Year-to-date change	Overall index	2013M01	-1.3
Year-to-date change	Overall index	2012M12	2.9
Year-to-date change	Overall index	2012M11	2.8
Year-to-date change	Overall index	2012M10	2.9
Year-to-date change	Overall index	2012M09	2.1
Year-to-date change	Overall index	2012M08	1.1
Year-to-date change	Overall index	2012M07	0.5
Year-to-date change	Overall index	2012M06	0.7
Year-to-date change	Overall index	2012M05	0.9
Year-to-date change	Overall index	2012M04	1.1
Year-to-date change	Overall index	2012M03	-0.3
Year-to-date change	Overall index	2012M02	-1.0
Year-to-date change	Overall index	2012M01	-1.1
Year-to-date change	Overall index	2011M12	2.4
Year-to-date change	Overall index	2011M11	2.2
Year-to-date change	Overall index	2011M10	1.8
Year-to-date change	Overall index	2011M09	1.0
Year-to-date change	Overall index	2011M08	0.8
Year-to-date change	Overall index	2011M07	0.7
Year-to-date change	Overall index	2011M06	1.2
Year-to-date change	Overall index	2011M05	1.3
Year-to-date change	Overall index	2011M04	1.4
Year-to-date change	Overall index	2011M03	0.1
Year-to-date change	Overall index	2011M02	-0.6
Year-to-date change	Overall index	2011M01	-0.7
Year-to-date change	Overall index	2010M12	3.0
Year-to-date change	Overall index	2010M11	2.4
Year-to-date change	Overall index	2010M10	1.8
Year-to-date change	Overall index	2010M09	0.9
Year-to-date change	Overall index	2010M08	0.8
Year-to-date change	Overall index	2010M07	0.6
Year-to-date change	Overall index	2010M06	1.0
Year-to-date change	Overall index	2010M05	0.8
Year-to-date change	Overall index	2010M04	0.6
Year-to-date change	Overall index	2010M03	-0.5
Year-to-date change	Overall index	2010M02	-1.2
Year-to-date change	Overall index	2010M01	-1.0
Year-to-date change	Overall index	2009M12	0.8
Year-to-date change	Overall index	2009M11	0.8
Year-to-date change	Overall index	2009M10	0.3
Year-to-date change	Overall index	2009M09	-0.4
Year-to-date change	Overall index	2009M08	-0.2
Year-to-date change	Overall index	2009M07	-0.5
Year-to-date change	Overall index	2009M06	0.3
Year-to-date change	Overall index	2009M05	-0.1
Year-to-date change	Overall index	2009M04	-0.1
Year-to-date change	Overall index	2009M03	-1.1
Year-to-date change	Overall index	2009M02	-1.2
Year-to-date change	Overall index	2009M01	-1.2
Year-to-date change	Overall index	2008M12	1.4
Year-to-date change	Overall index	2008M11	2.0
Year-to-date change	Overall index	2008M10	2.4
Year-to-date change	Overall index	2008M09	2.0
Year-to-date change	Overall index	2008M08	2.1
Year-to-date change	Overall index	2008M07	2.3
Year-to-date change	Overall index	2008M06	2.8
Year-to-date change	Overall index	2008M05	2.2
Year-to-date change	Overall index	2008M04	1.5
Year-to-date change	Overall index	2008M03	0.4
Year-to-date change	Overall index	2008M02	-0.5
Year-to-date change	Overall index	2008M01	-0.6
Year-to-date change	Overall index	2007M12	4.2
Year-to-date change	Overall index	2007M11	3.8
Year-to-date change	Overall index	2007M10	3.0
Year-to-date change	Overall index	2007M09	1.7
Year-to-date change	Overall index	2007M08	1.4
Year-to-date change	Overall index	2007M07	1.3
Year-to-date change	Overall index	2007M06	2.0
Year-to-date change	Overall index	2007M05	1.8
Year-to-date change	Overall index	2007M04	1.5
Year-to-date change	Overall index	2007M03	0.1
Year-to-date change	Overall index	2007M02	-0.6
Year-to-date change	Overall index	2007M01	-0.7
Year-to-date change	Overall index	2006M12	2.7
Year-to-date change	Overall index	2006M11	2.4
Year-to-date change	Overall index	2006M10	2.1
Year-to-date change	Overall index	2006M09	1.7
Year-to-date change	Overall index	2006M08	1.9
Year-to-date change	Overall index	2006M07	1.7
Year-to-date change	Overall index	2006M06	2.3
Year-to-date change	Overall index	2006M05	2.1
Year-to-date change	Overall index	2006M04	1.8
Year-to-date change	Overall index	2006M03	0.3
Year-to-date change	Overall index	2006M02	-0.4
Year-to-date change	Overall index	2006M01	-0.4
Year-to-date change	Overall index	2005M12	3.7
Year-to-date change	Overall index	2005M11	3.5
Year-to-date change	Overall index	2005M10	3.4
Year-to-date change	Overall index	2005M09	2.5
Year-to-date change	Overall index	2005M08	1.9
Year-to-date change	Overall index	2005M07	1.5
Year-to-date change	Overall index	2005M06	2.1
Year-to-date change	Overall index	2005M05	1.8
Year-to-date change	Overall index	2005M04	1.6
Year-to-date change	Overall index	2005M03	0.2
Year-to-date change	Overall index	2005M02	-0.6
Year-to-date change	Overall index	2005M01	-0.8
Year-to-date change	Overall index	2004M12	3.2
Year-to-date change	Overall index	2004M11	3.3
Year-to-date change	Overall index	2004M10	3.1
Year-to-date change	Overall index	2004M09	2.0
Year-to-date change	Overall index	2004M08	1.8
Year-to-date change	Overall index	2004M07	1.4
Year-to-date change	Overall index	2004M06	2.2
Year-to-date change	Overall index	2004M05	2.0
Year-to-date change	Overall index	2004M04	1.4
Year-to-date change	Overall index	2004M03	0.0
Year-to-date change	Overall index	2004M02	-0.7
Year-to-date change	Overall index	2004M01	-0.7
Year-to-date change	Overall index	2003M12	2.6
Year-to-date change	Overall index	2003M11	2.4
Year-to-date change	Overall index	2003M10	2.1
Year-to-date change	Overall index	2003M09	1.4
Year-to-date change	Overall index	2003M08	1.1
Year-to-date change	Overall index	2003M07	0.6
Year-to-date change	Overall index	2003M06	1.3
Year-to-date change	Overall index	2003M05	1.2
Year-to-date change	Overall index	2003M04	1.3
Year-to-date change	Overall index	2003M03	0.5
Year-to-date change	Overall index	2003M02	-0.2
Year-to-date change	Overall index	2003M01	-0.4
Year-to-date change	Overall index	2002M12	4.0
Year-to-date change	Overall index	2002M11	3.7
Year-to-date change	Overall index	2002M10	3.5
Year-to-date change	Overall index	2002M09	2.5
Year-to-date change	Overall index	2002M08	2.1
Year-to-date change	Overall index	2002M07	1.8
Year-to-date change	Overall index	2002M06	2.5
Year-to-date change	Overall index	2002M05	2.5
Year-to-date change	Overall index	2002M04	2.1
Year-to-date change	Overall index	2002M03	0.8
Year-to-date change	Overall index	2002M02	0.0
Year-to-date change	Overall index	2002M01	-0.1
Year-to-date change	Overall index	2001M12	2.7
Year-to-date change	Overall index	2001M11	2.3
Year-to-date change	Overall index	2001M10	2.4
Year-to-date change	Overall index	2001M09	2.5
Year-to-date change	Overall index	2001M08	2.5
Year-to-date change	Overall index	2001M07	2.3
Year-to-date change	Overall index	2001M06	2.0
Year-to-date change	Overall index	2001M05	1.7
Year-to-date change	Overall index	2001M04	1.3
Year-to-date change	Overall index	2001M03	0.8
Year-to-date change	Overall index	2001M02	0.4
Year-to-date change	Overall index	2001M01	0.0
Year-to-date change	Overall index	2000M12	4.0
Year-to-date change	Overall index	2000M11	3.6
Year-to-date change	Overall index	2000M10	3.3
Year-to-date change	Overall index	2000M09	3.1
Year-to-date change	Overall index	2000M08	2.8
Year-to-date change	Overall index	2000M07	2.4
Year-to-date change	Overall index	2000M06	1.8
Year-to-date change	Overall index	2000M05	1.5
Year-to-date change	Overall index	2000M04	1.3
Year-to-date change	Overall index	2000M03	0.9
Year-to-date change	Overall index	2000M02	0.5
Year-to-date change	Overall index	2000M01	0.3
Year-to-date change	Overall index	1999M12	2.9
Year-to-date change	Overall index	1999M11	2.5
Year-to-date change	Overall index	1999M10	2.3
Year-to-date change	Overall index	1999M09	2.3
Year-to-date change	Overall index	1999M08	2.1
Year-to-date change	Overall index	1999M07	1.7
Year-to-date change	Overall index	1999M06	1.3
Year-to-date change	Overall index	1999M05	1.2
Year-to-date change	Overall index	1999M04	1.2
Year-to-date change	Overall index	1999M03	0.9
Year-to-date change	Overall index	1999M02	0.4
Year-to-date change	Overall index	1999M01	0.4
Year-to-date change	Overall index	1998M12	1.4
Year-to-date change	Overall index	1998M11	1.1
Year-to-date change	Overall index	1998M10	1.2
Year-to-date change	Overall index	1998M09	1.2
Year-to-date change	Overall index	1998M08	1.1
Year-to-date change	Overall index	1998M07	0.9
Year-to-date change	Overall index	1998M06	0.5
Year-to-date change	Overall index	1998M05	0.4
Year-to-date change	Overall index	1998M04	0.3
Year-to-date change	Overall index	1998M03	0.0
Year-to-date change	Overall index	1998M02	0.0
Year-to-date change	Overall index	1998M01	0.2
Year-to-date change	Overall index	1997M12	2.0
Year-to-date change	Overall index	1997M11	1.7
Year-to-date change	Overall index	1997M10	1.5
Year-to-date change	Overall index	1997M09	1.6
Year-to-date change	Overall index	1997M08	1.1
Year-to-date change	Overall index	1997M07	0.6
Year-to-date change	Overall index	1997M06	0.5
Year-to-date change	Overall index	1997M05	0.5
Year-to-date change	Overall index	1997M04	0.3
Year-to-date change	Overall index	1997M03	0.3
Year-to-date change	Overall index	1997M02	0.2
Year-to-date change	Overall index	1997M01	0.3
Year-to-date change	Overall index	1996M12	3.2
Year-to-date change	Overall index	1996M11	2.9
Year-to-date change	Overall index	1996M10	2.9
Year-to-date change	Overall index	1996M09	2.8
Year-to-date change	Overall index	1996M08	2.5
Year-to-date change	Overall index	1996M07	2.2
Year-to-date change	Overall index	1996M06	2.1
Year-to-date change	Overall index	1996M05	2.2
Year-to-date change	Overall index	1996M04	1.8
Year-to-date change	Overall index	1996M03	1.2
Year-to-date change	Overall index	1996M02	0.9
Year-to-date change	Overall index	1996M01	0.6
Year-to-date change	Overall index	1995M12	4.3
Year-to-date change	Overall index	1995M11	4.0
Year-to-date change	Overall index	1995M10	3.7
Year-to-date change	Overall index	1995M09	3.5
Year-to-date change	Overall index	1995M08	3.1
Year-to-date change	Overall index	1995M07	2.8
Year-to-date change	Overall index	1995M06	2.8
Year-to-date change	Overall index	1995M05	2.7
Year-to-date change	Overall index	1995M04	2.7
Year-to-date change	Overall index	1995M03	2.1
Year-to-date change	Overall index	1995M02	1.5
Year-to-date change	Overall index	1995M01	1.0
Year-to-date change	Overall index	1994M12	4.3
Year-to-date change	Overall index	1994M11	3.9
Year-to-date change	Overall index	1994M10	3.7
Year-to-date change	Overall index	1994M09	3.5
Year-to-date change	Overall index	1994M08	3.2
Year-to-date change	Overall index	1994M07	2.5
Year-to-date change	Overall index	1994M06	2.1
Year-to-date change	Overall index	1994M05	2.0
Year-to-date change	Overall index	1994M04	1.8
Year-to-date change	Overall index	1994M03	1.4
Year-to-date change	Overall index	1994M02	1.0
Year-to-date change	Overall index	1994M01	1.0
Year-to-date change	Overall index	1993M12	4.9
Year-to-date change	Overall index	1993M11	4.4
Year-to-date change	Overall index	1993M10	4.3
Year-to-date change	Overall index	1993M09	3.9
Year-to-date change	Overall index	1993M08	3.3
Year-to-date change	Overall index	1993M07	2.7
Year-to-date change	Overall index	1993M06	2.3
Year-to-date change	Overall index	1993M05	2.0
Year-to-date change	Overall index	1993M04	1.8
Year-to-date change	Overall index	1993M03	1.3
Year-to-date change	Overall index	1993M02	1.0
Year-to-date change	Overall index	1993M01	0.9
Year-to-date change	Overall index	1992M12	5.3
Year-to-date change	Overall index	1992M11	5.0
Year-to-date change	Overall index	1992M10	5.0
Year-to-date change	Overall index	1992M09	4.9
Year-to-date change	Overall index	1992M08	4.0
Year-to-date change	Overall index	1992M07	3.1
Year-to-date change	Overall index	1992M06	2.8
Year-to-date change	Overall index	1992M05	2.8
Year-to-date change	Overall index	1992M04	2.5
Year-to-date change	Overall index	1992M03	2.6
Year-to-date change	Overall index	1992M02	2.3
Year-to-date change	Overall index	1992M01	1.6
Year-to-date change	Overall index	1991M12	5.5
Year-to-date change	Overall index	1991M11	5.5
Year-to-date change	Overall index	1991M10	5.3
Year-to-date change	Overall index	1991M09	4.7
Year-to-date change	Overall index	1991M08	3.8
Year-to-date change	Overall index	1991M07	3.4
Year-to-date change	Overall index	1991M06	2.2
Year-to-date change	Overall index	1991M05	1.9
Year-to-date change	Overall index	1991M04	1.6
Year-to-date change	Overall index	1991M03	1.4
Year-to-date change	Overall index	1991M02	1.0
Year-to-date change	Overall index	1991M01	1.2
Year-to-date change	Overall index	1990M12	6.5
Year-to-date change	Overall index	1990M11	6.3
Year-to-date change	Overall index	1990M10	6.4
Year-to-date change	Overall index	1990M09	5.5
Year-to-date change	Overall index	1990M08	4.4
Year-to-date change	Overall index	1990M07	3.9
Year-to-date change	Overall index	1990M06	2.5
Year-to-date change	Overall index	1990M05	2.2
Year-to-date change	Overall index	1990M04	2.2
Year-to-date change	Overall index	1990M03	2.0
Year-to-date change	Overall index	1990M02	1.6
Year-to-date change	Overall index	1990M01	1.0
Year-to-date change	Overall index	1989M12	6.9
Year-to-date change	Overall index	1989M11	6.5
Year-to-date change	Overall index	1989M10	6.3
Year-to-date change	Overall index	1989M09	5.9
Year-to-date change	Overall index	1989M08	4.8
Year-to-date change	Overall index	1989M07	4.5
Year-to-date change	Overall index	1989M06	2.9
Year-to-date change	Overall index	1989M05	2.3
Year-to-date change	Overall index	1989M04	2.2
Year-to-date change	Overall index	1989M03	1.9
Year-to-date change	Overall index	1989M02	1.2
Year-to-date change	Overall index	1989M01	1.2
Year-to-date change	Overall index	1988M12	5.8
Year-to-date change	Overall index	1988M11	5.0
Year-to-date change	Overall index	1988M10	5.1
Year-to-date change	Overall index	1988M09	4.9
Year-to-date change	Overall index	1988M08	4.0
Year-to-date change	Overall index	1988M07	3.0
Year-to-date change	Overall index	1988M06	1.7
Year-to-date change	Overall index	1988M05	1.3
Year-to-date change	Overall index	1988M04	1.3
Year-to-date change	Overall index	1988M03	1.6
Year-to-date change	Overall index	1988M02	0.9
Year-to-date change	Overall index	1988M01	0.6
Year-to-date change	Overall index	1987M12	4.6
Year-to-date change	Overall index	1987M11	4.2
Year-to-date change	Overall index	1987M10	4.5
Year-to-date change	Overall index	1987M09	3.8
Year-to-date change	Overall index	1987M08	2.9
Year-to-date change	Overall index	1987M07	2.9
Year-to-date change	Overall index	1987M06	1.9
Year-to-date change	Overall index	1987M05	1.9
Year-to-date change	Overall index	1987M04	2.0
Year-to-date change	Overall index	1987M03	1.8
Year-to-date change	Overall index	1987M02	1.2
Year-to-date change	Overall index	1987M01	0.8
Year-to-date change	Overall index	1986M12	8.3
Year-to-date change	Overall index	1986M11	7.8
Year-to-date change	Overall index	1986M10	8.0
Year-to-date change	Overall index	1986M09	7.6
Year-to-date change	Overall index	1986M08	6.5
Year-to-date change	Overall index	1986M07	6.2
Year-to-date change	Overall index	1986M06	5.2
Year-to-date change	Overall index	1986M05	4.2
Year-to-date change	Overall index	1986M04	3.9
Year-to-date change	Overall index	1986M03	3.7
Year-to-date change	Overall index	1986M02	3.3
Year-to-date change	Overall index	1986M01	2.9
Year-to-date change	Overall index	1985M12	8.2
Year-to-date change	Overall index	1985M11	7.7
Year-to-date change	Overall index	1985M10	6.9
Year-to-date change	Overall index	1985M09	6.4
Year-to-date change	Overall index	1985M08	5.2
Year-to-date change	Overall index	1985M07	5.0
Year-to-date change	Overall index	1985M06	4.5
Year-to-date change	Overall index	1985M05	4.6
Year-to-date change	Overall index	1985M04	4.3
Year-to-date change	Overall index	1985M03	3.2
Year-to-date change	Overall index	1985M02	2.6
Year-to-date change	Overall index	1985M01	1.9
Year-to-date change	Overall index	1984M12	9.0
Year-to-date change	Overall index	1984M11	8.3
Year-to-date change	Overall index	1984M10	7.7
Year-to-date change	Overall index	1984M09	7.1
Year-to-date change	Overall index	1984M08	6.9
Year-to-date change	Overall index	1984M07	6.1
Year-to-date change	Overall index	1984M06	4.5
Year-to-date change	Overall index	1984M05	3.8
Year-to-date change	Overall index	1984M04	3.2
Year-to-date change	Overall index	1984M03	2.8
Year-to-date change	Overall index	1984M02	1.9
Year-to-date change	Overall index	1984M01	1.5
Year-to-date change	Overall index	1983M12	12.2
Year-to-date change	Overall index	1983M11	10.5
Year-to-date change	Overall index	1983M10	9.4
Year-to-date change	Overall index	1983M09	7.9
Year-to-date change	Overall index	1983M08	7.1
Year-to-date change	Overall index	1983M07	5.7
Year-to-date change	Overall index	1983M06	5.3
Year-to-date change	Overall index	1983M05	4.7
Year-to-date change	Overall index	1983M04	4.2
Year-to-date change	Overall index	1983M03	2.8
Year-to-date change	Overall index	1983M02	2.2
Year-to-date change	Overall index	1983M01	1.7
Year-to-date change	Overall index	1982M12	14.0
Year-to-date change	Overall index	1982M11	11.5
Year-to-date change	Overall index	1982M10	11.2
Year-to-date change	Overall index	1982M09	10.1
Year-to-date change	Overall index	1982M08	9.9
Year-to-date change	Overall index	1982M07	9.2
Year-to-date change	Overall index	1982M06	7.8
Year-to-date change	Overall index	1982M05	6.8
Year-to-date change	Overall index	1982M04	5.2
Year-to-date change	Overall index	1982M03	3.9
Year-to-date change	Overall index	1982M02	2.9
Year-to-date change	Overall index	1982M01	2.1
Year-to-date change	Overall index	1981M12	14.4
Year-to-date change	Overall index	1981M11	12.7
Year-to-date change	Overall index	1981M10	11.7
Year-to-date change	Overall index	1981M09	10.5
Year-to-date change	Overall index	1981M08	9.6
Year-to-date change	Overall index	1981M07	8.3
Year-to-date change	Overall index	1981M06	6.2
Year-to-date change	Overall index	1981M05	6.1
Year-to-date change	Overall index	1981M04	5.6
Year-to-date change	Overall index	1981M03	4.6
Year-to-date change	Overall index	1981M02	2.5
Year-to-date change	Overall index	1981M01	2.0
Year-to-date change	Overall index	1980M12	15.2
Year-to-date change	Overall index	1980M11	13.6
Year-to-date change	Overall index	1980M10	12.5
Year-to-date change	Overall index	1980M09	11.6
Year-to-date change	Overall index	1980M08	10.4
Year-to-date change	Overall index	1980M07	9.1
Year-to-date change	Overall index	1980M06	7.6
Year-to-date change	Overall index	1980M05	6.0
Year-to-date change	Overall index	1980M04	5.2
Year-to-date change	Overall index	1980M03	4.2
Year-to-date change	Overall index	1980M02	3.7
Year-to-date change	Overall index	1980M01	2.8
Year-to-date change	Overall index	1979M12	15.6
Year-to-date change	Overall index	1979M11	13.9
Year-to-date change	Overall index	1979M10	13.7
Year-to-date change	Overall index	1979M09	12.2
Year-to-date change	Overall index	1979M08	10.7
Year-to-date change	Overall index	1979M07	9.6
Year-to-date change	Overall index	1979M06	7.3
Year-to-date change	Overall index	1979M05	6.4
Year-to-date change	Overall index	1979M04	5.1
Year-to-date change	Overall index	1979M03	3.6
Year-to-date change	Overall index	1979M02	2.5
Year-to-date change	Overall index	1979M01	1.7
Year-to-date change	Overall index	1978M12	16.5
Year-to-date change	Overall index	1978M11	15.0
Year-to-date change	Overall index	1978M10	14.5
Year-to-date change	Overall index	1978M09	13.4
Year-to-date change	Overall index	1978M08	12.5
Year-to-date change	Overall index	1978M07	10.6
Year-to-date change	Overall index	1978M06	8.2
Year-to-date change	Overall index	1978M05	7.2
Year-to-date change	Overall index	1978M04	6.1
Year-to-date change	Overall index	1978M03	3.9
Year-to-date change	Overall index	1978M02	2.6
Year-to-date change	Overall index	1978M01	1.6
Year-to-date change	Overall index	1977M12	26.4
Year-to-date change	Overall index	1977M11	25.4
Year-to-date change	Overall index	1977M10	24.4
Year-to-date change	Overall index	1977M09	22.5
Year-to-date change	Overall index	1977M08	20.8
Year-to-date change	Overall index	1977M07	17.0
Year-to-date change	Overall index	1977M06	13.3
Year-to-date change	Overall index	1977M05	10.2
Year-to-date change	Overall index	1977M04	9.3
Year-to-date change	Overall index	1977M03	7.3
Year-to-date change	Overall index	1977M02	4.8
Year-to-date change	Overall index	1977M01	3.3
Year-to-date change	Overall index	1976M12	19.8
Year-to-date change	Overall index	1976M11	18.5
Year-to-date change	Overall index	1976M10	16.4
Year-to-date change	Overall index	1976M09	14.8
Year-to-date change	Overall index	1976M08	12.7
Year-to-date change	Overall index	1976M07	11.7
Year-to-date change	Overall index	1976M06	11.0
Year-to-date change	Overall index	1976M05	11.7
Year-to-date change	Overall index	1976M04	6.8
Year-to-date change	Overall index	1976M03	4.7
Year-to-date change	Overall index	1976M02	2.3
Year-to-date change	Overall index	1976M01	1.2
Year-to-date change	Overall index	1975M12	14.1
Year-to-date change	Overall index	1975M11	12.3
Year-to-date change	Overall index	1975M10	11.6
Year-to-date change	Overall index	1975M09	11.6
Year-to-date change	Overall index	1975M08	9.8
Year-to-date change	Overall index	1975M07	8.1
Year-to-date change	Overall index	1975M06	6.4
Year-to-date change	Overall index	1975M05	6.1
Year-to-date change	Overall index	1975M04	4.8
Year-to-date change	Overall index	1975M03	3.0
Year-to-date change	Overall index	1975M02	2.4
Year-to-date change	Overall index	1975M01	1.4
Year-to-date change	Overall index	1974M12	17.9
Year-to-date change	Overall index	1974M11	16.3
Year-to-date change	Overall index	1974M10	13.2
Year-to-date change	Overall index	1974M09	12.0
Year-to-date change	Overall index	1974M08	10.2
Year-to-date change	Overall index	1974M07	8.4
Year-to-date change	Overall index	1974M06	7.2
Year-to-date change	Overall index	1974M05	6.7
Year-to-date change	Overall index	1974M04	5.4
Year-to-date change	Overall index	1974M03	3.1
Year-to-date change	Overall index	1974M02	0.9
Year-to-date change	Overall index	1974M01	0.6
Year-to-date change	Overall index	1973M12	14.2
Year-to-date change	Overall index	1973M11	13.0
Year-to-date change	Overall index	1973M10	12.8
Year-to-date change	Overall index	1973M09	11.1
Year-to-date change	Overall index	1973M08	9.2
Year-to-date change	Overall index	1973M07	7.4
Year-to-date change	Overall index	1973M06	6.3
Year-to-date change	Overall index	1973M05	4.7
Year-to-date change	Overall index	1973M04	3.2
Year-to-date change	Overall index	1973M03	1.7
Year-to-date change	Overall index	1973M02	0.9
Year-to-date change	Overall index	1973M01	0.7
Year-to-date change	Overall index	1972M12	7.3
Year-to-date change	Overall index	1972M11	6.5
Year-to-date change	Overall index	1972M10	6.4
Year-to-date change	Overall index	1972M09	5.6
Year-to-date change	Overall index	1972M08	4.2
Year-to-date change	Overall index	1972M07	3.1
Year-to-date change	Overall index	1972M06	1.7
