"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,,3 IV 1971,Cdf,216078,,116314,,99764,,2.8,,168819,,78.1,,47259,,21.9
,,5 IV 1981,Cdf,350798,,204793,,146005,,4.8,,283162,,80.7,,67636,,19.3
,,16 XI 1991,Cdf,508037,,294346,,213691,,3.7,,449336,,88.4,,58701,,11.6
,"Bangladesh [49], [50]",,,,,,,,,,,,,,,,,
,,1 II 1951,Cdf,42062610,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 II 1961,Cdf,50853721,,[...],,[...],,1.9,,[...],,[...],,[...],,[...] 
,,1 III 1974,Cdf,71479071,,37071740,,34407331,,2.6,,6273603,,8.8,,65205468,,91.2
,,6 III 1981,Cdf,87119965,,44919191,,42200774,,2.8,,13227625,,15.2,,73892340,,84.8
,,11 III 1991,Cdf,111455185,,57313929,,54141256,,2.5,,[...],,[...],,[...],,[...] 
,Bhutan - Bhoutan,,,,,,,,,,,,,,,,,
,,XI 1969,Cdf,1034774,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Brunei Darussalam - Brunéi Darussalam [51],,,,,,,,,,,,,,,,,
,,10 VIII 1960,Cdf,83877,,43676,,40201,,[...],,36530,,43.6,,47347,,56.4
,,10 VIII 1971,Cdf,136256,,72772,,63484,,4.4,,86703,,63.6,,49553,,36.4
,,26 VIII 1981,Cdf,192832,,102942,,89890,,3.5,,114504,,59.4,,78328,,40.6
,,7 VIII 1991,Cdf,260482,,137616,,122866,,3,,173411,,66.6,,87071,,33.4
,"Cambodia - Cambodge [52], [53]",,,,,,,,,,,,,,,,,
,,IV 1958,Sdf,4740000,,2365000,,2375000,,[...],,608000,,12.8,,4132000,,87.2
,,IV 1959,Sdf,4845000,,2420000,,2425000,,2.2,,[...],,[...],,[...],,[...] 
,,17 IV 1962,Cdf,5728771,,2862939,,2865832,,[...],,590011,,10.3,,5138760,,89.7
,,20 III 1996,Sdf,10702000,,5119000,,5583000,,[...],,1540000,,14.4,,9162000,,85.6
,,3 III 1998,Cdf,11426223,,5509204,,5917019,,[...],,1794029,,15.7,,9632194,,84.3
,"China - Chine [54], [55], [56]",,,,,,,,,,,,,,,,,
,,30 VI 1953,Cdf,590194715,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 VII 1982,Cdf,1003180738,,519421198,,483759540,,1.8,,[...],,[...],,[...],,[...] 
,,1 VII 1990,Cdf,1160044618,,[...],,[...],,1.8,,[...],,[...],,[...],,[...] 
,China: Hong Kong SAR - Chine: Hong-Kong RAS,,,,,,,,,,,,,,,,,
,,7 III 1961,Cdf,3133131,,1610650,,1522481,,[...],,[...],,[...],,[...],,[...] 
,,2 VIII 1966,cdf,3708920,,1880870,,1828050,,[...],,[...],,[...],,[...],,[...] 
,,9 III 1971,Cdf,3948179,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,9 III 1981,Cdf,4986560,,2604168,,2382392,,2.3,,4573067,,91.7,,413493,,8.3
,,11 III 1986,Cdf,5395997,,2772464,,2623533,,1.6,,5024047,,93.1,,371950,,6.9
,,15 III 1991,Cdf,5522281,,2811991,,2710290,,0.5,,[...],,[...],,[...],,[...] 
,,15 III 1996,Cdf,6217556,,3108107,,3109449,,2.4,,[...],,[...],,[...],,[...] 
,Cyprus - Chypre [57],,,,,,,,,,,,,,,,,
,,11 XII 1960,Cdj,577615,,285288,,292327,,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1973,Cdj,631778,,312566,,319212,,0.7,,[...],,[...],,[...],,[...] 
,,30 IX 1976,Cdj,612851,,306144,,306707,,-1,,[...],,[...],,[...],,[...] 
,,1 X 1992,Cdj,602025,,299614,,302411,,-0.1,,407324,,67.7,,194701,,32.3
,East Timor - Timor oriental,,,,,,,,,,,,,,,,,
,,IX 1950,Cdf,442378,,232018,,210360,,[...],,[...],,[...],,[...],,[...] 
,,15 XII 1960,Cdf,517079,,267783,,249296,,1.6,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,610500,,[...],,[...],,1.7,,[...],,[...],,[...],,[...] 
,,31 X 1980,Cdf,555350,,283280,,272070,,-0.9,,[...],,[...],,[...],,[...] 
,,31 X 1990,Cdf,747750,,386939,,360811,,3,,[...],,[...],,[...],,[...] 
,Georgia - Géorgie,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,4993182,,2338870,,2654312,,[...],,2548667,,51,,2444515,,49
,,12 I 1989,Cdf,5400841,,2562040,,2838801,,0.8,,2991352,,55.4,,2409489,,44.6
,India - Inde [58],,,,,,,,,,,,,,,,,
,,1 III 1951,Cdf,361088090,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 III 1961,Cdf,439234771,,226293201,,212941570,,2,,[...],,[...],,[...],,[...] 
,,1 IV 1971,Cdf,548159652,,284049276,,264110376,,2.2,,109113977,,19.9,,439045675,,80.1
,,1 III 1981,Cdf,685184692,,354397884,,330786808,,2.2,,159727357,,23.3,,525457335,,76.7
,,1 III 1991,Cdf,846302688,,439230458,,407072230,,2.1,,217611012,,25.7,,628691676,,74.3
,Indonesia - Indonésie [59],,,,,,,,,,,,,,,,,
,,31 X 1961,Cdf,96318829,,47493854,,48824975,,[...],,14358372,,14.9,,81960457,,85.1
,,24 IX 1971,Cdf,119140504,,58733725,,60406779,,2.1,,20465377,,17.2,,98675127,,82.8
,,31 X 1980,Cdf,147490298,,[...],,[...],,2.4,,[...],,[...],,[...],,[...] 
,,31 X 1990,Cdf,179378946,,89463545,,89915401,,2,,55502063,,30.9,,123876883,,69.1
,Iran (Islamic Republic of) - Iran (République islamique d'),,,,,,,,,,,,,,,,,
,,1 XI 1956,Cdf,18954704,,9644944,,9309760,,[...],,5953563,,31.4,,13001141,,68.6
,,X 1959,Sdf,19745582,,10142586,,9602996,,[...],,6030515,,30.5,,13715067,,69.5
,,1 XI 1966,Cdf,25785210,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,XI 1976,Cdf,33708744,,17356347,,16352397,,2.7,,15854680,,47,,17854064,,53
,,22 IX 1986,Cdf,49445010,,25280961,,24164049,,3.8,,[...],,[...],,[...],,[...] 
,,1 X 1991,Cdf,55837163,,28768450,,27068713,,2.4,,31836598,,57,,24000565,,43
,,X 1996,Cdj,60055488,,30515159,,29540329,,[...],,[...],,[...],,[...],,[...] 
,Iraq,,,,,,,,,,,,,,,,,
,,12 X 1957,Cdf,6298976,,3170470,,3128506,,[...],,[...],,[...],,[...],,[...] 
,,14 X 1965,Cdf,8047415,,4102514,,3944901,,3.1,,4111799,,51.1,,3935616,,48.9
,,17 X 1977,Cdf,12000497,,6182898,,5817599,,3.3,,7646054,,63.7,,4354443,,36.3
,,17 X 1987,Cdf,16335199,,8395889,,7939310,,3.1,,11468969,,70.2,,4866230,,29.8
,Israel - Israël [60],,,,,,,,,,,,,,,,,
,,8 XI 1948,Cdf,872678,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,22 V 1961,Cdj,2179491,,1106069,,1073422,,[...],,1697916,,77.9,,481575,,22.1
,,20 V 1972,Cdj,3147683,,1581812,,1565871,,3.3,,[...],,[...],,[...],,[...] 
,,4 VI 1983,Cdj,4037620,,2011590,,2026030,,2.3,,3616029,,89.6,,421591,,10.4
,"Japan - Japon [61], [62]",,,,,,,,,,,,,,,,,
,,1 VIII 1948,Cdf,80216896,,39365452,,40851444,,[...],,27717049,,34.6,,52499847,,65.4
,,1 X 1950,Cdf,83199637,,40811760,,42387877,,1.8,,31203191,,37.5,,51996446,,62.5
,,1 X 1955,Cdf,89275529,,43860718,,45414811,,1.4,,50288026,,56.3,,38987503,,43.7
,,1 X 1960,Cdf,93418428,,45877563,,47540865,,0.9,,59333330,,63.5,,34085098,,36.5
,,1 X 1965,Cdf,98274961,,48244445,,50030516,,1,,66918621,,68.1,,31356340,,31.9
,,1 X 1970,Cdf,104665171,,51369177,,53295994,,1.3,,75428660,,72.1,,29236511,,27.9
,,1 X 1975,Cdf,111939643,,55090673,,56848970,,1.3,,84967269,,75.9,,26972374,,24.1
,,1 X 1980,Cdf,117060396,,57593769,,59466627,,0.9,,89187409,,76.2,,27872987,,23.8
,,1 X 1985,Cdf,121048923,,59497316,,61551607,,0.7,,92889236,,76.7,,28159687,,23.3
,,1 X 1990,Cdf,123611167,,60696724,,62914443,,0.4,,95643521,,77.4,,27967646,,22.6
,,1 X 1995,Cdf,125570246,,61574398,,63995848,,0.3,,98009107,,78.1,,27561139,,21.9
,"Jordan - Jordanie [63], [64]",,,,,,,,,,,,,,,,,
,,VIII 1952,Cdf,1329174,,675104,,654070,,[...],,482434,,36.3,,846740,,63.7
,,18 XI 1961,Cdf,1706226,,867597,,838629,,2.8,,748291,,43.9,,957935,,56.1
,,10 XI 1979,Cdf,2100019,,1086591,,1013428,,1.2,,1241734,,59.1,,858285,,40.9
,,10 XII 1994,Cdf,4095579,,2135883,,1959696,,4.5,,[...],,[...],,[...],,[...] 
,Kazakhstan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,14684283,,7075637,,7608646,,[...],,7855220,,53.5,,6829063,,46.5
,,12 I 1989,Cdf,16536511,,8012985,,8523526,,1.2,,9465351,,57.2,,7071160,,42.8
,Korea (Dem. People's Republic of) - Corée (Rép. populaire dém. de),,,,,,,,,,,,,,,,,
,,31 XII 1993,Cdf,21213378,,10329699,,10883679,,[...],,[...],,[...],,[...],,[...] 
,Korea (Republic of) - Corée (République de) [65],,,,,,,,,,,,,,,,,
,,1 V 1949,Cdf,20188641,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 IX 1955,Cdf,21502386,,10752973,,10749413,,1.1,,5262778,,24.5,,16239608,,75.5
,,1 XII 1960,Cdf,24989241,,12543968,,12445273,,3,,6996746,,28,,17992495,,72
,,1 X 1966,Cdf,29207856,,14700966,,14506890,,2.6,,9810426,,33.6,,19397430,,66.4
,,1 X 1970,Cdf,31465654,,15795677,,15669977,,1.9,,12953192,,41.2,,18512462,,58.8
,,1 X 1975,Cdf,34678972,,17445246,,17233726,,1.9,,16769946,,48.4,,17909026,,51.6
,,1 XI 1980,Cdf,37436315,,18767201,,18669114,,1.5,,21434116,,57.3,,16002199,,42.7
,,1 XI 1985,Cdf,40448486,,20243765,,20204721,,1.5,,26442980,,65.4,,14005506,,34.6
,,1 XI 1990,Cdf,43410899,,21782154,,21628745,,1.4,,32308970,,74.4,,11101929,,25.6
,,1 XI 1995,Cdf,44608726,,22389324,,22219402,,0.5,,35036473,,78.5,,9572253,,21.5
,Kuwait - Koweït,,,,,,,,,,,,,,,,,
,,28 II 1957,Cdf,206473,,132058,,74415,,[...],,[...],,[...],,[...],,[...] 
,,20 V 1961,Cdf,321621,,200707,,120914,,11.1,,[...],,[...],,[...],,[...] 
,,25 IV 1965,Cdf,467339,,286312,,181027,,9.3,,[...],,[...],,[...],,[...] 
,,19 IV 1970,Cdf,738663,,419882,,318781,,9.2,,[...],,[...],,[...],,[...] 
,,21 IV 1975,Cdf,994837,,543768,,451069,,6,,[...],,[...],,[...],,[...] 
,,21 IV 1980,Cdf,1357952,,776639,,581313,,6.2,,[...],,[...],,[...],,[...] 
,,21 IV 1985,Cdf,1697301,,965297,,732004,,4.5,,[...],,[...],,[...],,[...] 
,,20 IV 1995,Cdf,1575983,[*] \,914324,[*] \,661659,[*] \,-0.7,[*] \,[...],,[...],,[...],,[...] 
,Kyrgyzstan - Kirghizistan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,3522832,,1708097,,1814735,,[...],,1348761,,38.3,,2174071,,61.7
,,12 I 1989,Cdj,4257755,,2077623,,2180132,,[...],,1624535,,38.2,,2633220,,61.8
,Lao People's Democratic Republic - République démocratique populaire lao,,,,,,,,,,,,,,,,,
,,1 III 1985,Cdf,3584803,,1757115,,1827688,,[...],,[...],,[...],,[...],,[...] 
,Lebanon - Liban,,,,,,,,,,,,,,,,,
,,15 XI 1970,Sdf,2126325,,1080015,,1046310,,[...],,1278030,,60.1,,848295,,39.9
,Macau - Macao,,,,,,,,,,,,,,,,,
,,4 VI 1950,Cdf,187772,,98948,,88824,,[...],,[...],,[...],,[...],,[...] 
,,15 XII 1960,Cdj,169299,,83897,,85402,,[...],,161252,,95.2,,8047,,4.8
,,15 XII 1970,Cdj,248636,,127703,,120933,,3.8,,241413,,97.1,,7223,,2.9
,,16 III 1981,Cdf,247826,,127650,,120176,,[...],,[...],,[...],,[...],,[...] 
,,30 VIII 1991,Cdf,385089,,[...],,[...],,4.4,,[...],,[...],,[...],,[...] 
,Malaysia - Malaisie,,,,,,,,,,,,,,,,,
,,24 VIII 1970,Cdf,10319324,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,10 VI 1980,Cdf,13136109,,6588756,,6547353,,2.4,,[...],,[...],,[...],,[...] 
,,14 VIII 1991,Cdf,17563420,,8876829,,8686591,,2.6,,8898581,,50.7,,8664839,,49.3
,Malaysia: Peninsular Malaysia - Malaisie: Malaisie Péninsulaire,,,,,,,,,,,,,,,,,
,,17 VI 1957,Cdf,6278758,,3237579,,3041179,,[...],,2679673,,42.7,,3599085,,57.3
,,24 VIII 1970,Cdf,8780728,,4413068,,4367660,,2.6,,2524994,,28.8,,6255734,,71.2
,,10 VI 1980,Cdf,10944844,,5469334,,5475510,,2.2,,4073105,,37.2,,6871739,,62.8
,Malaysia - Malaisie: Sabah,,,,,,,,,,,,,,,,,
,,3 VI 1951,Cdf,334141,,172353,,161788,,[...],,44833,,13.4,,289308,,86.6
,,9 VIII 1960,Cdf,454421,,236616,,217805,,3.4,,67674,,14.9,,386747,,85.1
,,24 VIII 1970,Cdf,651304,,338227,,313077,,3.6,,106670,,16.4,,544634,,83.6
,,10 VI 1980,Cdf,955712,,499345,,456367,,3.8,,249615,,26.1,,706097,,73.9
,Malaysia - Malaisie: Sarawak,,,,,,,,,,,,,,,,,
,,14 VI 1960,Cdf,744529,,375846,,368683,,[...],,111757,,15,,632772,,85
,,24 VIII 1970,Cdf,887292,,447123,,440169,,1.8,,148590,,16.7,,738702,,83.3
,,10 VI 1980,Cdf,1235553,,620077,,615476,,3.3,,222529,,18,,1013024,,82
,Maldives,,,,,,,,,,,,,,,,,
,,VI 1956,Cdf,81950,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,VI 1957,Cdf,83075,,[...],,[...],,1.4,,[...],,[...],,[...],,[...] 
,,VI 1958,Cdf,87582,,[...],,[...],,5.3,,[...],,[...],,[...],,[...] 
,,VI 1959,Cdf,89290,,[...],,[...],,1.9,,[...],,[...],,[...],,[...] 
,,VI 1960,Cdf,92247,,[...],,[...],,3.3,,[...],,[...],,[...],,[...] 
,,VI 1961,Cdf,92793,,[...],,[...],,0.6,,[...],,[...],,[...],,[...] 
,,VI 1962,Cdf,92744,,[...],,[...],,0.1,,[...],,[...],,[...],,[...] 
,,VI 1963,Cdf,94527,,50274,,44253,,1.9,,10875,,11.5,,83652,,88.5
,,VI 1964,Cdf,93960,,50276,,43684,,-0.6,,[...],,[...],,[...],,[...] 
,,18 VI 1965,Cdf,97743,,51964,,45779,,3.9,,11202,,11.5,,86541,,88.5
,,18 VI 1966,Cdf,100883,,[...],,[...],,3.2,,[...],,[...],,[...],,[...] 
,,18 VI 1967,Cdf,103801,,55346,,48455,,2.9,,11760,,11.3,,92041,,88.7
,,1 VII 1971,Cdf,118818,,63188,,55630,,3.4,,[...],,[...],,[...],,[...] 
,,VI 1972,Cdf,122673,,64924,,57749,,3.2,,[...],,[...],,[...],,[...] 
,,1 VII 1974,Cdf,128697,,68301,,60396,,2.4,,[...],,[...],,[...],,[...] 
,,31 XII 1977,Cdf,142832,,75224,,67608,,3.5,,29522,,20.7,,113310,,79.3
,,25 III 1985,Cdf,180088,,93482,,86606,,2.9,,45874,,25.5,,134214,,74.5
,,8 III 1990,Cdf,213215,,109336,,103879,,3.4,,55130,,25.9,,158085,,74.1
,,25 III 1995,Cdf,244814,,124622,,120192,,2.8,,[...],,[...],,[...],,[...] 
,Mongolia - Mongolie,,,,,,,,,,,,,,,,,
,,5 II 1956,Cdf,845481,,420291,,425190,,[...],,232500,,27.5,,612981,,72.5
,,5 I 1963,Cdf,1017100,,[...],,[...],,2.6,,[...],,[...],,[...],,[...] 
,,10 I 1969,Cdf,1197600,,597400,,600200,,2.7,,527400,,44,,670200,,56
,,5 I 1979,Cdf,1595000,,798900,,796100,,2.9,,817100,,51.2,,777900,,48.8
,,5 I 1989,Cdf,2043400,,[...],,[...],,2.5,,1165900,,57.1,,877500,,42.9
,Myanmar [66],,,,,,,,,,,,,,,,,
,,31 III 1973,Cdj,28885867,,14356754,,14529113,,[...],,[...],,[...],,[...],,[...] 
,,31 III 1983,Cdf,35307913,,17518255,,17789658,,[...],,8466292,,24,,26841621,,76
,Nepal - Népal,,,,,,,,,,,,,,,,,
,,28 V 1952,Cdf,8256625,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,22 VI 1961,Cdf,9412996,,4636033,,4776963,,1.5,,336222,,3.6,,9076774,,96.4
,,22 VI 1971,Cdj,11555983,,5817203,,5738780,,[...],,461938,,4,,11094045,,96
,,22 VI 1981,Cdj,15022839,,7695336,,7327503,,2.6,,956721,,6.4,,14066118,,93.6
,,22 VI 1991,Cdj,18491097,,9220974,,9270123,,2.1,,1695719,,9.2,,16795378,,90.8
,Oman,,,,,,,,,,,,,,,,,
,,1 XII 1993,Cdf,2018074,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Pakistan [67],,,,,,,,,,,,,,,,,
,,28 II 1951,Cdf,34207192,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 II 1961,Cdf,42978261,,[...],,[...],,2.3,,[...],,[...],,[...],,[...] 
,,16 IX 1972,Cdf,65309000,,34833000,,30476000,,3.8,,16593000,,25.4,,48716000,,74.6
,,1 III 1981,Cdf,84253644,,44232677,,40020967,,2.8,,23841471,,28.3,,60412173,,71.7
,Philippines,,,,,,,,,,,,,,,,,
,,1 X 1948,Cdf,19234182,,9651195,,9582987,,[...],,4630758,,24.1,,14603424,,75.9
,,15 II 1960,Cdj,27087685,,13662869,,13424816,,[...],,8102476,,29.9,,18985209,,70.1
,,6 V 1970,Cdj,36684486,,18250351,,18434135,,3,,11677820,,31.8,,25006666,,68.2
,,1 V 1975,Cdj,42070660,,21276224,,20794436,,2.7,,13306081,,31.6,,28764579,,68.4
,,1 V 1980,Cdj,48098460,,24128755,,23969705,,2.7,,17943897,,37.3,,30154563,,62.7
,,1 V 1990,Cdj,60559116,,30443187,,30115929,,2.3,,29440153,,48.6,,31118963,,51.4
,,1 IX 1995,Cdj,68616536,,34584170,,34032366,,2.5,,[...],,[...],,[...],,[...] 
,Qatar,,,,,,,,,,,,,,,,,
,,16 III 1986,Cdf,369079,,247852,,121227,,[...],,[...],,[...],,[...],,[...] 
,,1997,Cdf,520500,,[...],,[...],,3.1,,[...],,[...],,[...],,[...] 
,Saudi Arabia - Arabie saoudite,,,,,,,,,,,,,,,,,
,,9 IX 1974,Cdf,7012642,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,27 IX 1992,Cdf,16929294,,9466541,,7462753,,4.9,,[...],,[...],,[...],,[...] 
,Singapore - Singapour [68],,,,,,,,,,,,,,,,,
,,17 VI 1957,Cdf,1445929,,762760,,683169,,[...],,[...],,[...],,[...],,[...] 
,,22 VI 1970,Cdf,2074507,,1062127,,1012380,,2.8,,[...],,[...],,[...],,[...] 
,,24 VI 1980,Cdf,2413945,,1231760,,1182185,,1.5,,[...],,[...],,[...],,[...] 
,,30 VI 1990,Cdf,2705115,,1370059,,1335056,,1.1,,[...],,[...],,[...],,[...] 
,Sri Lanka,,,,,,,,,,,,,,,,,
,,20 III 1953,Cdf,8097895,,4268730,,3829165,,[...],,1239133,,15.3,,6858762,,84.7
,,8 VII 1963,Cdf,10582064,,5498674,,5083390,,2.7,,2016285,,19.1,,8565779,,80.9
,,9 X 1971,Cdf,12689897,,6531361,,6158536,,2.3,,2848116,,22.4,,9841781,,77.6
,,17 III 1981,Cdf,14846750,,7568253,,7278497,,1.6,,3192489,,21.5,,11654261,,78.5
,Syrian Arab Republic - République arabe syrienne [69],,,,,,,,,,,,,,,,,
,,20 IX 1960,Cdf,4565121,,2344224,,2220897,,[...],,[...],,[...],,[...],,[...] 
,,23 IX 1970,Cdf,6304685,,3233110,,3071575,,3.2,,2741171,,43.5,,3563514,,56.5
,,7 IX 1981,Cdf,9046144,,4621852,,4424292,,3.3,,4256543,,47.1,,4789601,,52.9
,,3 IX 1994,Cdf,13812000,,[...],,[...],,3.3,,[...],,[...],,[...],,[...] 
,Tajikistan - Tadjikistan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,3806220,,1880521,,1925699,,[...],,1315827,,34.6,,2490393,,65.4
,,12 I 1989,Cdf,5108576,,2537546,,2571030,,2.9,,[...],,[...],,[...],,[...] 
,"Thailand - Thaïlande [70], [71]",,,,,,,,,,,,,,,,,
,,23 II 1956,Cdj,20095130,,10021800,,10073330,,[...],,1743080,,8.7,,18352050,,91.3
,,25 IV 1960,Cdj,26257916,,13154149,,13103767,,6.7,,4778648,,18.2,,21479268,,81.8
,,1 IV 1970,Cdj,34397374,,17123862,,17273512,,2.7,,4553100,,13.2,,29844274,,86.8
,,1 IV 1980,Cdj,44824540,,22328607,,22495933,,2.6,,7632916,,17,,37191624,,83
,,1 IV 1990,Cdj,54532300,,27031200,,27501100,,2,,10206900,,18.7,,44325400,,81.3
,Turkey - Turquie,,,,,,,,,,,,,,,,,
,,22 X 1950,Cdf,20947188,,10527085,,10420103,,[...],,4593261,,21.9,,16353927,,78.1
,,23 X 1955,Cdf,24064763,,12233421,,11831342,,2.8,,6927343,,28.8,,17137420,,71.2
,,23 X 1960,Cdf,27754820,,14163888,,13590932,,2.9,,7307816,,26.3,,20447004,,73.7
,,24 X 1965,Cdf,31391421,,15996964,,15394457,,2.5,,10805817,,34.4,,20585604,,65.6
,,25 X 1970,Cdf,35605176,,[...],,[...],,2.5,,13691101,,38.5,,21914075,,61.5
,,26 X 1975,Cdf,40347719,,20744730,,19602989,,2.5,,16869068,,41.8,,23478651,,58.2
,,12 X 1980,Cdf,44736957,,22695362,,22041595,,2.1,,19645007,,43.9,,25091950,,56.1
,,20 X 1985,Cdf,50664458,,25671975,,24992483,,2.5,,26865757,,53,,23798701,,47
,,21 X 1990,Cdf,56473035,,28607047,,27865988,,2.2,,33326351,,59,,23146684,,41
,Turkmenistan - Turkménistan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,2764748,,1358911,,1405837,,[...],,1309673,,47.4,,1455075,,52.6
,,12 I 1989,Cdf,3522717,,1735179,,1787538,,2.4,,1591148,,45.2,,1931569,,54.8
,,10 I 1995,Cdf,4483251,,2225331,,2257920,,4,,[...],,[...],,[...],,[...] 
,United Arab Emirates - Emirats Arabes Unis,,,,,,,,,,,,,,,,,
,,15 III 1968,Cdf,179126,,110806,,68320,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1975,Cdf,557887,,386427,,171460,,16.2,,468287,,83.9,,89600,,16.1
,,15 XII 1980,Cdf,1043225,,720360,,322865,,12.5,,843546,,80.9,,199679,,19.1
,,XII 1995,Cdf,2377453,[*] \,1579743,[*] \,797710,[*] \,5.5,[*] \,[...],,[...],,[...],,[...] 
,Uzbekistan - Ouzbékistan,,,,,,,,,,,,,,,,,
,,17 I 1979,Cdf,15389307,,7556147,,7833160,,[...],,6281636,,40.8,,9107671,,59.2
,,12 I 1989,Cdj,19810077,,9784156,,10025921,,[...],,8040963,,40.6,,11769114,,59.4
,Viet Nam,,,,,,,,,,,,,,,,,
,,1 X 1979,Cdf,52741766,,25580582,,27161184,,[...],,10115457,,19.2,,42626309,,80.8
,,1 IV 1989,Cdj,64411713,,31336568,,33075145,,[...],,[...],,[...],,[...],,[...] 
,"West Bank and Gaza Strip - Cisjordanie et Zone de Gaza [72], [73]",,,,,,,,,,,,,,,,,
,,9 XII 1997,Cdf,2596617,,1318804,,1277813,,[...],,[...],,[...],,[...],,[...] 
,Yemen - Yémen,,,,,,,,,,,,,,,,,
,,16 XII 1994,Cdf,14587807,,7473540,,7114267,,[...],,3423518,,23.5,,11164289,,76.5
,Yemen: Former Democratic Yemen - Yémen: Ancien Yémen démocratique,,,,,,,,,,,,,,,,,
,,14 V 1973,Cdf,1590275,,787017,,803258,,[...],,[...],,[...],,[...],,[...] 
,,29 III 1988,Cdf,2345266,,1184359,,1160907,,2.6,,[...],,[...],,[...],,[...] 
,Yemen: Former Yemen Arab Republic - Yémen: Ancienne Yémen république,,,,,,,,,,,,,,,,,
,,1 II 1975,Cdf,5258530,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,1 II 1986,Cdf,9274173,,4647310,,4626863,,5.2,,[...],,[...],,[...],,[...] 
EUROPE,,,,,,,,,,,,,,,,,,
,Albania - Albanie,,,,,,,,,,,,,,,,,
,,3 IX 1950,Cdf,1218943,,625935,,593008,,[...],,249783,,20.5,,969160,,79.5
,,2 X 1955,Cdf,1391499,,713316,,678183,,2.6,,383169,,27.5,,1008330,,72.5
,,2 X 1960,Cdf,1626315,,835294,,791021,,3.1,,502456,,30.9,,1123859,,69.1
,,1 IV 1969,Cdf,2068100,,[...],,[...],,2.7,,650700,,31.5,,1417400,,68.5
,,7 I 1979,Cdf,2590600,,1337400,,1253200,,2.3,,866600,,33.5,,1724000,,66.5
,,12 IV 1989,Cdf,3182400,,1638900,,1543500,,2.1,,1129800,,35.5,,2052600,,64.5
,Andorra - Andorre,,,,,,,,,,,,,,,,,
,,XI 1954,Cdf,5664,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Austria - Autriche,,,,,,,,,,,,,,,,,
,,1 VI 1951,Cdj,6933905,,3217240,,3716665,,[...],,3410842,,49.2,,3523063,,50.8
,,21 III 1961,Cdj,7073807,,3296400,,3777407,,0.2,,3535560,,50,,3538247,,50
,,12 V 1971,Cdj,7456403,,3501719,,3954684,,0.5,,3866565,,51.9,,3589838,,48.1
,,12 V 1981,Cdj,7555338,,3572426,,3982912,,0.1,,4161045,,55.1,,3394293,,44.9
,,15 V 1991,Cdj,7795786,,3753989,,4041797,,0.3,,5032189,,64.6,,2763597,,35.4
,Belarus - Bélarus,,,,,,,,,,,,,,,,,
,,15 I 1959,Cdf,8054648,,3581040,,4473608,,[...],,2480505,,30.8,,5574143,,69.2
,,15 I 1970,Cdf,9002338,,4137816,,4864522,,1,,3907783,,43.4,,5094555,,56.6
,,17 I 1979,Cdf,9532516,,4421166,,5111350,,0.6,,5234295,,54.9,,4298221,,45.1
,,12 I 1989,Cdf,10199709,,4775835,,5423874,,0.7,,6678585,,65.5,,3521124,,34.5
,Belgium - Belgique,,,,,,,,,,,,,,,,,
,,31 XII 1961,Cdj,9189741,,4496860,,4692881,,[...],,6102363,,66.4,,3087378,,33.6
,,31 XII 1970,Cdj,9650944,,4721866,,4929078,,0.5,,[...],,[...],,[...],,[...] 
,,1 III 1981,Cdj,9848647,,4810349,,5038298,,0.2,,[...],,[...],,[...],,[...] 
,,1 III 1991,Cdj,9978681,,4875982,,5102699,,0.1,,[...],,[...],,[...],,[...] 
