"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1993,,Edf,U,12301970,2399550,[=>],[0-4],,2172490,,1805190,,1290240,,926290,,666820,,591880,,517800,,448150,,358480,,297530,,265610,,188900,,146000,,93850,,133190,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,16 XII 1994,,Cdf,C,14587807,474719,,1920253,,2735850,,2202884,,1486755,,990006,,914142,,780524,,739189,,534930,,414427,,383799,,207589,,284731,,134878,,171999,,63288,,80755,,66040,[=>],[85+],,[85+],,[85+],,1049
,,,1 VII 1997,,Edf,U,16484000,712000,,2446000,,2384000,,2203000,,2024000,,1426000,,957000,,878000,,821000,,645000,,495000,,385000,,297000,,238000,,198000,,149000,,226000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1993,,Edf,U,6104940,1226280,[=>],[0-4],,1099420,,938900,,683460,,466800,,306210,,253840,,220190,,198290,,166670,,139310,,134340,,93230,,70170,,45320,,62510,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,16 XII 1994,,Cdf,C,7473540,245925,,969884,,1404417,,1186231,,785127,,514157,,433650,,370666,,357761,,267057,,212507,,193636,,109372,,149934,,72661,,89830,,34421,,40421,,35095,[=>],[85+],,[85+],,[85+],,788
,,,1 VII 1997,,Edf,U,8227000,363000,,1247000,,1213000,,1129000,,1047000,,717000,,456000,,405000,,377000,,302000,,240000,,188000,,146000,,113000,,99000,,74000,,111000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1993,,Edf,U,6197030,1173270,[=>],[0-4],,1073070,,866290,,606780,,459490,,360610,,338040,,297610,,249860,,191810,,158220,,131270,,95670,,75830,,48530,,70680,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,16 XII 1994,,Cdf,C,7114267,228794,,950369,,1331433,,1016653,,701628,,475849,,480492,,409858,,381428,,267873,,201920,,190163,,98217,,134797,,62217,,82169,,28867,,40334,,30945,[=>],[85+],,[85+],,[85+],,261
,,,1 VII 1997,,Edf,U,8257000,349000,,1199000,,1171000,,1074000,,977000,,709000,,501000,,473000,,444000,,343000,,255000,,197000,,151000,,125000,,99000,,75000,,115000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,3091990,502460,[=>],[0-4],,473510,,458070,,419080,,309360,,186820,,159020,,143900,,115220,,93810,,64500,,58140,,35760,,30130,,16680,,25530,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,3423518,98756,,372120,,535411,,492788,,401317,,316136,,257640,,219905,,192980,,134608,,107327,,88698,,50432,,57530,,28131,,30560,,12541,,13648,,12457,[=>],[85+],,[85+],,[85+],,533
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,1705720,259810,[=>],[0-4],,237210,,244960,,260730,,192150,,107580,,85660,,76040,,64100,,52610,,34650,,32910,,19130,,16000,,8980,,13200,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,1856602,50872,,189919,,272246,,260979,,220977,,185604,,142812,,123317,,108179,,77669,,62215,,49044,,28990,,31440,,15841,,15868,,6990,,6582,,6596,[=>],[85+],,[85+],,[85+],,462
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,1386270,242650,[=>],[0-4],,236300,,213110,,158350,,117210,,79240,,73360,,67860,,51120,,41200,,29850,,25230,,16630,,14130,,7700,,12330,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,1566916,47884,,182201,,263165,,231809,,180340,,130532,,114828,,96588,,84801,,56939,,45112,,39654,,21442,,26090,,12290,,14692,,5551,,7066,,5861,[=>],[85+],,[85+],,[85+],,71
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,9209980,1897090,[=>],[0-4],,1698980,,1347120,,871160,,616930,,480000,,432860,,373900,,332930,,264670,,233030,,207470,,153140,,115870,,77170,,107660,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,11164289,375963,,1548133,,2200439,,1710096,,1085438,,673870,,656502,,560619,,546209,,400322,,307100,,295101,,157157,,227201,,106747,,141439,,50747,,67107,,53583,[=>],[85+],,[85+],,[85+],,516
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,4399220,966470,[=>],[0-4],,862210,,693940,,422730,,274650,,198630,,168180,,144150,,134190,,114060,,104660,,101430,,74100,,54170,,36340,,49310,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,5616938,195053,,779965,,1132171,,925252,,564150,,328553,,290838,,247349,,249582,,189388,,150292,,144592,,80382,,118494,,56820,,73962,,27431,,33839,,28499,[=>],[85+],,[85+],,[85+],,326
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VII 1993,Edf,U,4810760,930620,[=>],[0-4],,836770,,653180,,448430,,342280,,281370,,264680,,229750,,198740,,150610,,128370,,106040,,79040,,61700,,40830,,58350,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,16 XII 1994,Cdf,C,5547351,180910,,768168,,1068268,,784844,,521288,,345317,,365664,,313270,,296627,,210934,,156808,,150509,,76775,,108707,,49927,,67477,,23316,,33268,,25084,[=>],[85+],,[85+],,[85+],,190
,Yemen: Former Democratic Yemen - Yémen: Ancien Yémen démocratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1970,,Edf,U,1435940,226063,[=>],[0-4],,184412,,160930,,140751,,122869,,107070,,92995,,80709,,69435,,59448,,50325,,41702,,33724,,25608,,39899,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,VII 1972,,Edf,U,1514522,238434,[=>],[0-4],,194504,,169737,,148454,,129593,,112931,,98085,,85125,,73235,,62701,,53079,,43983,,35570,,27009,,42082,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,14 V 1973,,Cdf,C,1590275,290245,[=>],[0-4],,275641,,186652,,129778,,94634,,105599,,92653,,92385,,66677,,55271,,52934,,28442,,38498,,18029,,47652,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,15185
,,,1 VII 1977,,Edf,U,1796830,350299,[=>],[0-4],,324260,,212430,,151434,,125417,,111876,,101714,,90393,,77919,,65510,,53103,,40627,,27152,,15834,,48862,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,1 VII 1985,,Edf,U,2164000,393000,[=>],[0-4],,374000,,252000,,178000,,130000,,146000,,127000,,125000,,90000,,74000,,71000,,41000,,51000,,27000,,62000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,23000
,,,1 VII 1986,,Edf,U,2220000,404000,[=>],[0-4],,388000,,261000,,187000,,134000,,155000,,127000,,129000,,90000,,75000,,70000,,40000,,51000,,26000,,61000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,22000
,,,1 VII 1987,,Edf,U,2278000,415000,[=>],[0-4],,396000,,270000,,186000,,135000,,152000,,132000,,133000,,93000,,79000,,77000,,40000,,56000,,24000,,69000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,21000
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1970,,Edf,U,732329,116440,[=>],[0-4],,94983,,82900,,72501,,63273,,55144,,47894,,41377,,35591,,30318,,25558,,20945,,16697,,12450,,16258,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,VII 1972,,Edf,U,780039,122813,[=>],[0-4],,100182,,87437,,76469,,66736,,58163,,50516,,43641,,37539,,30723,,26957,,22091,,17959,,13878,,24935,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,14 V 1973,,Cdf,C,787017,146263,[=>],[0-4],,144131,,103002,,62006,,40839,,47696,,41168,,45686,,31091,,26994,,25651,,14310,,17445,,8887,,21739,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,10109
,,,1 VII 1977,,Edf,U,889240,177403,[=>],[0-4],,163798,,107331,,76830,,62158,,54244,,49709,,44106,,37259,,31657,,25966,,19208,,12449,,6758,,20364,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,1 VII 1985,,Edf,U,1071000,197000,[=>],[0-4],,195000,,138000,,86000,,58000,,66000,,57000,,62000,,43000,,36000,,34000,,21000,,23000,,14000,,27000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,14000
,,,1 VII 1986,,Edf,U,1099000,202000,[=>],[0-4],,201000,,143000,,90000,,60000,,70000,,57000,,64000,,43000,,36000,,34000,,21000,,23000,,14000,,27000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,14000
,,,1 VII 1987,,Edf,U,1127000,210000,[=>],[0-4],,206000,,149000,,89000,,58000,,69000,,60000,,66000,,44000,,38000,,36000,,19000,,25000,,13000,,31000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,14000
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1970,,Edf,U,703611,109623,[=>],[0-4],,89429,,78030,,68250,,59596,,51926,,45101,,39332,,33844,,29130,,24767,,20757,,17027,,13158,,23641,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,VII 1972,,Edf,U,734483,115621,[=>],[0-4],,94322,,82300,,71985,,62857,,54768,,47569,,41484,,35696,,31978,,26122,,21892,,17611,,13131,,17147,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,14 V 1973,,Cdf,C,803258,143982,[=>],[0-4],,131510,,83650,,67772,,53795,,57903,,51485,,46699,,35586,,28277,,27283,,14132,,21053,,9142,,25913,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,5076
,,,1 VII 1977,,Edf,U,907590,172896,[=>],[0-4],,160462,,105099,,74604,,63259,,57632,,52005,,46287,,40660,,33853,,27137,,21419,,14703,,9076,,28498,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,1 VII 1985,,Edf,U,1093000,196000,[=>],[0-4],,179000,,114000,,92000,,72000,,80000,,70000,,63000,,47000,,38000,,37000,,20000,,28000,,13000,,35000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,9000
,,,1 VII 1986,,Edf,U,1121000,202000,[=>],[0-4],,187000,,118000,,97000,,74000,,85000,,70000,,65000,,47000,,39000,,36000,,19000,,28000,,12000,,34000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,8000
,,,1 VII 1987,,Edf,U,1151000,205000,[=>],[0-4],,190000,,121000,,97000,,77000,,83000,,72000,,67000,,49000,,41000,,41000,,21000,,31000,,11000,,38000,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,7000
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,529063,88292,[=>],[0-4],,88672,,63400,,47376,,36490,,39568,,32777,,33621,,22595,,17737,,16206,,7942,,9819,,4448,,12846,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,7274
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,280171,44817,[=>],[0-4],,46777,,35966,,25399,,18877,,20501,,17083,,17916,,11785,,9513,,8603,,4103,,4669,,2158,,5516,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,6488
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,248892,43475,[=>],[0-4],,41895,,27434,,21977,,17613,,19067,,15694,,15705,,10810,,8224,,7603,,3839,,5150,,2290,,7330,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,786
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,904710,176765,[=>],[0-4],,159808,,107958,,68624,,48433,,54986,,50457,,48958,,36886,,31121,,30333,,17534,,24458,,11541,,29185,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,7663
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,429770,89542,[=>],[0-4],,83370,,59070,,30111,,17953,,21405,,20123,,22457,,16015,,13844,,13781,,8544,,10653,,5616,,13767,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,3519
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14 V 1973,Cdf,C,474940,87223,[=>],[0-4],,76438,,48888,,38513,,30480,,33581,,30334,,26501,,20871,,17277,,16552,,8990,,13805,,5925,,15418,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,4144
,Yemen: Former Yemen Arab Republic - Yémen: Ancienne Yémen république,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 II 1975,,Cdj,C,4540249,786916,[=>],[0-4],,833780,,524612,,339220,,260935,,306066,,279379,,261540,,230043,,157717,,173477,,79126,,125071,,47142,,60682,,20117,,44781,[=>],[80+],,[80+],,[80+],,[80+],,9645
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 II 1975,,Cdj,C,2163142,392947,[=>],[0-4],,432284,,281036,,153427,,101488,,120335,,113706,,117589,,104442,,75741,,82106,,39915,,59834,,24396,,28641,,10336,,20568,[=>],[80+],,[80+],,[80+],,[80+],,4351
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 II 1975,,Cdj,C,2377107,393969,[=>],[0-4],,401496,,243576,,185793,,159447,,185731,,165673,,143951,,125601,,81976,,91371,,39211,,65237,,22746,,32041,,9781,,24213,[=>],[80+],,[80+],,[80+],,[80+],,5294

EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albania - Albanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3 IX 1950,,Cdf,C,1218943,40286,,134926,,152945,,142205,,117780,,103943,,81821,,74814,,68121,,60891,,47371,,46741,,33278,,35173,,27988,,20131,,12607,,7951,,7870,[=>],[85+],,[85+],,[85+],,2101
,,,2 X 1955,,Cdf,C,1391499,54580,,167085,,168887,,150109,,140701,,117154,,103364,,80106,,72974,,66981,,58251,,44267,,43407,,32101,,30370,,22539,,15063,,8102,,8572,[=>],[85+],,[85+],,[85+],,6886
,,,2 X 1960,,Cdf,C,1626315,68671,,216619,,1341025,,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,POPGE15+],,[7+],,[7+],,[7+],,[7+],,[7+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3 IX 1950,,Cdf,C,625935,20754,,70297,,81169,,76106,,63783,,55949,,40560,,38477,,35054,,30230,,23907,,22549,,15082,,16413,,12871,,9320,,5615,,3617,,3131,[=>],[85+],,[85+],,[85+],,1051
,,,2 X 1955,,Cdf,C,713316,27950,,86786,,88077,,80066,,75604,,62710,,55416,,39703,,37453,,34336,,28555,,22010,,19966,,14404,,13887,,9920,,6563,,3311,,3247,[=>],[85+],,[85+],,[85+],,3352
,,,2 X 1960,,Cdf,C,835294,35261,,112518,,687515,,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,POPGE15+],,[7+],,[7+],,[7+],,[7+],,[7+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3 IX 1950,,Cdf,C,593008,19532,,64629,,71776,,66099,,53997,,47994,,41261,,36337,,33067,,30661,,23464,,24192,,18196,,18760,,15117,,10811,,6992,,4334,,4739,[=>],[85+],,[85+],,[85+],,1050
,,,2 X 1955,,Cdf,C,678183,26630,,80299,,80810,,70043,,65097,,54444,,47948,,40403,,35521,,32645,,29696,,22257,,23441,,17697,,16483,,12619,,8500,,4791,,5325,[=>],[85+],,[85+],,[85+],,3534
,,,2 X 1960,,Cdf,C,791021,33410,,104101,,653510,,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,[7+],,POPGE15+],,[7+],,[7+],,[7+],,[7+],,[7+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,383169,13974,,44640,,41401,,32899,,37854,,47686,,35182,,27363,,19967,,18394,,14723,,11341,,10243,,7702,,7026,,4910,,3311,,1597,,1510,[=>],[85+],,[85+],,[85+],,1446
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,208236,7294,,23026,,21555,,17730,,21954,,31777,,19793,,14636,,11007,,9861,,7468,,5662,,4814,,3503,,2960,,2079,,1285,,611,,478,[=>],[85+],,[85+],,[85+],,743
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,174933,6680,,21614,,19846,,15169,,15900,,15909,,15389,,12727,,8960,,8533,,7255,,5679,,5429,,4199,,4066,,2831,,2026,,986,,1032,[=>],[85+],,[85+],,[85+],,703
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,1008330,40606,,122445,,127486,,117210,,102847,,69468,,68182,,52743,,53007,,48587,,43528,,32926,,33164,,24399,,23344,,17629,,11752,,6505,,7062,[=>],[85+],,[85+],,[85+],,5440
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,505080,20656,,63760,,66522,,62336,,53650,,30933,,35623,,25067,,26446,,24475,,21087,,16348,,15152,,10901,,10927,,7841,,5278,,2700,,2769,[=>],[85+],,[85+],,[85+],,2609
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 X 1955,Cdf,C,503250,19950,,58685,,60964,,54874,,49197,,38535,,32559,,27676,,26561,,24112,,22441,,16578,,18012,,13498,,12417,,9788,,6474,,3805,,4293,[=>],[85+],,[85+],,[85+],,2831
,Andorra - Andorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20 VI 1966,,Edf,U,14366,2934,[=>],[0-10],,[0-10],,1261,,981,,2124,,[21-30],,2394,[=>],[31-40],,1951,[=>],[41-50],,1413,,[51-60],,578,,730,,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,-
,,,21 XI 1981,,Edf,U,37462,186,,1852,,3297,,2889,,2825,,3982,,4192,,3639,,2897,,2084,,2089,,1926,,1660,,1277,,1076,,790,,471,,211,,119,[=>],[85+],,[85+],,[85+],,-
,,,30 IX 1986,,Edf,U,46381,222,,2009,,3196,,3638,,3302,,4252,,5261,,4813,,4047,,3245,,2363,,2336,,2125,,1852,,1389,,1093,,755,,408,,75,[=>],[85+],,[85+],,[85+],,-
,,,31 VII 1987,,Edf,U,47884,187,,1855,,3218,,3637,,3485,,4161,,5363,,5033,,4181,,3503,,2482,,2395,,2240,,1923,,1569,,1106,,808,,458,,273,[=>],[85+],,[85+],,[85+],,7
,,,31 XII 1988,,Edf,U,50528,420,,1865,,3296,,3741,,3600,,4259,,5510,,5288,,4439,,3812,,2830,,2427,,2412,,2047,,1741,,1163,,847,,513,,282,[=>],[85+],,[85+],,[85+],,36
,,,30 VI 1989,,Edf,U,50213,221,,1899,,3132,,3589,,3692,,4004,,5289,,5241,,4395,,3844,,3061,,2386,,2372,,2121,,1853,,1179,,968,,580,,387,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1990,,Edf,U,51642,246,,2102,,3065,,3603,,3790,,3855,,5204,,5406,,4622,,4001,,3229,,2541,,2443,,2225,,1944,,1308,,1022,,602,,319,,69,,27,,19,,-
,,,1 VII 1991,,Edf,U,57558,262,,2308,,3137,,3584,,4088,,5189,,6604,,6265,,5157,,4303,,3525,,2603,,2575,,2351,,2005,,1440,,1033,,652,,292,,129,,29,,1,,26
,,,31 XII 1992,,Edf,U,61599,3246,[=>],[0-4],,3132,,3659,,4093,,5819,,7149,,6741,,5420,,4599,,3834,,2768,,2680,,2456,,2059,,1603,,1045,,675,,621,[=>],[85+],,[85+],,[85+],,-
,,,31 XII 1993,,Edf,U,65227,3358,[=>],[0-4],,3177,,3764,,4139,,5626,,7325,,7284,,6110,,5102,,4250,,3193,,2747,,2625,,2208,,1737,,1100,,755,,727,[=>],[85+],,[85+],,[85+],,-
,,,31 XII 1994,,Edf,U,64311,3314,[=>],[0-4],,3243,,3513,,3943,,5312,,7000,,7131,,6160,,5058,,4296,,3441,,2659,,2589,,2267,,1816,,1095,,815,,659,[=>],[85+],,[85+],,[85+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20 VI 1966,,Edf,U,7468,1548,[=>],[0-10],,[0-10],,670,,546,,952,,[21-30],,1267,[=>],[31-40],,1053,[=>],[41-50],,793,,[51-60],,301,,338,,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,[66+],,-
,,,21 XI 1981,,Edf,U,20130,115,,930,,1703,,1496,,1508,,2230,,2358,,2041,,1616,,1092,,1142,,1004,,821,,685,,581,,436,,234,,94,,44,[=>],[85+],,[85+],,[85+],,-
,,,30 IX 1986,,Edf,U,24563,110,,1046,,1638,,1892,,1703,,2165,,2876,,2638,,2228,,1781,,1258,,1258,,1106,,928,,728,,584,,398,,196,,30,[=>],[85+],,[85+],,[85+],,-
,,,31 VII 1987,,Edf,U,25329,114,,963,,1656,,1890,,1802,,2108,,2852,,2785,,2310,,1937,,1313,,1284,,1186,,975,,795,,590,,418,,230,,116,[=>],[85+],,[85+],,[85+],,5
,,,31 XII 1988,,Edf,U,26715,211,,975,,1690,,1946,,1853,,2189,,2924,,2882,,2455,,2122,,1501,,1307,,1263,,1054,,892,,626,,438,,245,,132,[=>],[85+],,[85+],,[85+],,10
,,,30 VI 1989,,Edf,U,26376,108,,991,,1591,,1893,,1915,,2038,,2756,,2818,,2394,,2103,,1633,,1259,,1253,,1104,,930,,637,,501,,286,,166,[=>],[85+],,[85+],,[85+],,-
,,,30 VI 1990,,Edf,U,27092,137,,1100,,1576,,1872,,1953,,1981,,2669,,2925,,2491,,2147,,1757,,1336,,1323,,1135,,996,,676,,531,,301,,136,,32,,7,,11,,-
,,,1 VII 1991,,Edf,U,30707,136,,1211,,1618,,1840,,2139,,2758,,3589,,3477,,2847,,2371,,1900,,1384,,1360,,1243,,1022,,744,,524,,330,,129,,60,,8,,1,,16
,,,31 XII 1992,,Edf,U,32735,1668,[=>],[0-4],,1637,,1884,,2123,,3039,,3824,,3681,,2990,,2548,,2121,,1437,,1432,,1297,,1070,,808,,538,,339,,299,[=>],[85+],,[85+],,[85+],,-
,,,31 XII 1993,,Edf,U,34820,1724,[=>],[0-4],,1663,,1946,,2143,,2912,,3875,,3988,,3385,,2873,,2402,,1674,,1489,,1386,,1147,,898,,563,,393,,359,[=>],[85+],,[85+],,[85+],,-
